,headlines,categories
0,جو فوج کے خلاف بات کرے، اُس کی زبان گدی سے کھینچنی چاہیے، وزیر داخلہ شیخ رشید ,"['ریلوے', 'ایم کے', 'پاکستان', 'آصف علی زرداری', 'میاں نواز شریف', 'ووٹ', 'سیلاب', 'مریم نواز شریف', 'فوج', 'وزیرداخلہ']"
1,بنوں، شکار پر گئے 4 دوستوں کی لاشیں ملنے پر ورثا کا احتجاج,"['اغوا', 'دھرنا', 'مولانا فضل الرحمن', 'نامعلوم افراد', 'پولیس', 'امن و امان', 'بنوں', 'قتل', 'احتجاج', 'فائرنگ']"
2,ْراولپنڈی کے مختلف علاقوں میں موسلادھار بارش کے بعد واسا نے شہر میں ہائی الرٹ جاری کردیا ,"['مری', 'چھٹیاں', 'بارشیں', 'بجلی']"
3,بلو چستان کے تعلیمی اداروں میں 24گھنٹوں کے دوران کورونا وائرس کے 2 کیسز سامنے آئے,"['علاج', 'کوئٹہ', 'کرونا وائرس', 'گوادر']"
4,پاک افغان سرحدی شہر چمن میں بم دھماکہ ،تین افراد شہید ،13زخمی ہوگئے,"['گاڑی', 'جاں بحق', 'شہید', 'ایف سی', 'زخمی', 'پولیس', 'تھانہ', 'افغانستان', 'کوئٹہ', 'سڑک']"
5,سول ہسپتال کوئٹہ کے ایم ایس ڈاکٹر ارباب کامران کاسی نے چمن بم دھماکے کے بعد سول ہسپتال کوئٹہ میں ایمرجنسی نافذ کردی,"['کوئٹہ', 'ڈاکٹر']"
6,پی ڈی ایم کی یکجہتی اور استحکام غیر جمہوری قوتوں کا راستہ روکنے کیلئے ہے ،بلوچستان نیشنل پارٹی ,"['پارلیمنٹ', 'جمہوریت', 'ڈاکٹر', 'شیری رحمان', 'ایم کے', 'آصف علی زرداری', 'بلاول بھٹو زرداری', 'پیپلز پارٹی', 'بلوچستان', 'کراچی']"
7,نجی ٹی وی جیو نیوز کے شہید رپورٹر ملک ممتاز کو ستارہ شجاعت سے نوازا گیا ,"['پاکستان', 'نامعلوم افراد', 'شہید', 'فائرنگ']"
8,حلقہ این اے 249 کے ضمنی انتخاب کے لیے مجموعی طور پر 31 امیدواروں کے کاغذات نامزدگی کی جانچ پڑتال,"['عام انتخابات 2018', 'ایم کے', 'متحدہ قومی موومنٹ', 'این اے249', 'اسمبلی', 'پاکستان تحریک انصاف', 'کاغذات نامزدگی', 'قومی اسمبلی']"
9,اس ملک کو ہمارے آبا اجداد نے لاکھوں جانوں کی قربانیاں دے کر بنایا تھا اور اب سید مصطفی کمال کی قیادت میں اس ملک کو بنائینگے، انیس قائم خانی ,"['عام انتخابات 2018', 'پاکستان', 'این اے249', 'قرارداد', 'پاک سرزمین پارٹی', 'سید مصطفی کمال', 'محمد علی جناح']"
10,دعوت اسلامی کراچی کے قافلہ سے دو روز قبل لاپتہ ہونے والے نوجوان کی لاش نہر سے برآمد,['کراچی']
