,headlines,categories
147,چیف منسٹربلوچستان گولڈ کپ ہاکی ٹورنامنٹ،واپڈا،آرمی،نیشنل بینک،پورٹ قاسم،پنجاب کلروائٹس،بلوچستان کلرزاوراسلام آباد کوالیفائی کرگئیں ,"['کھیل', 'واپڈا', 'بلوچستان', 'ڈاکٹر', 'کار', 'مسئلہ کشمیر', 'سندھ', 'پاکستان', 'ہاکی', 'پنجاب', 'مقبوضہ کشمیر']"
148,نیشنل رینکنگ گالف چمپئن شپ، حمزہ امین تھکاوٹ کا شکار,['کھیل']
149,اسٹیٹ بینک ایکٹ 2021 معیشت اور ملک کے لئے خطرناک ثابت ہوگا، سینیٹر رحمن ملک ,"['پارلیمنٹ', 'الیکشن', 'ریکارڈ', 'نقصان', 'رحمان ملک', 'میرا', 'پاکستان', 'عام انتخابات 2018', 'گورنر', 'دنیا', 'بجٹ', 'تباہی', 'سونامی', 'بنک', 'الیکشن کمیشن']"
150,پی ڈی ایم استعفوں کی بجائے اجتماعی گرفتاریوں پر غور کرے، آصف زرداری,"['مسلم لیگ (ن)', 'ایم کے', 'قومی اسمبلی', 'آصف علی زرداری', 'اسمبلی', 'مولانا فضل الرحمن', 'پاکستان', 'لانگ مارچ', 'پیپلز پارٹی', 'جیل']"
151,شادیاں اور شرح پیدائش کم، جنازے زیادہ: اٹلی کا نیا المیہ,"['کرونا وائرس', 'یورپ', 'قتل', 'نقصان', 'ریڈ زون', 'ریکارڈ', 'اٹلی', 'فرانس', 'یورپی یونین', 'دنیا', 'برطانیہ', 'ہلاک']"
152,پرائیویٹ پارٹنرشپ اتھارٹی نے سیالکوٹ کھاریاں موٹر وے کو پبلک پرائیویٹ پارٹنرشپ موڈ پر کروانے کی منظوری دے دی ,"['کار', 'اسد عمر', 'موٹروے']"
153,نوشہرہ ڈسٹرکٹ بارایسوسی ایشن کے انتخابات مکمل ،شاہد ریاض برکی ایڈووکیٹ بھاری اکثریت سے صدرمنتخب,"['ریاض', 'عام انتخابات 2018', 'صدر مملکت', 'جمعیت']"
154,کھاریاں،ضلع میں 3 روزہ انسداد پولیومہم کا افتتا ح کر دیا گیا ,"['کرونا وائرس', 'پولیو', 'ڈاکٹر', 'پاکستان', 'قطر']"
155,گجرات پولیس کا منشیات فروشوں کے خلاف گرینڈ آپریشن,"['منشیات', 'ہیروئن', 'کار', 'تھانہ', 'پولیس', 'ریاض', 'جہاد']"
156,اسٹیٹ بینک کے ترمیمی بل سے ایسٹ انڈیا کمپنی کی بنیاد پڑ جائے گی،کنور محمد دلشاد,"['کمپنی', 'پارلیمنٹ', 'الیکشن', 'عالمی بینک', 'کار', 'عام انتخابات 2018', 'پاکستان', 'گورنر', 'بجٹ', 'بھارت', 'الیکشن کمیشن', 'وزیراعظم']"
157,جامشورو سے KDA-33 تک ٹرانسمیشن لائن مکمل ہے ، پی ٹی آئی حکومت کا ایک اور وعدہ پورا ہوا، عمر ایوب,"['کراچی', 'بجلی']"
