,headlines,categories
0,پتریاٹہ چیئر لفٹ نیو مری میں کلین اینڈ گرین پاکستان کے تحت بڑے پیمانے پر شجر کاری ,"['پاکستان', 'سونامی', 'دنیا', 'مری']"
1,جمعیت علماء پاکستان و ملی یکجہتی کونسل کا عورت مارچ کی آڑ میںاسلام کا تمسخراڑانے والوںکے خلاف 26مارچ کو یوم حرمت اسلا م منانے کا اعلان,"['پاکستان', 'جمعیت', 'ریکارڈ', 'ڈاکٹر', 'احتجاج']"
2,روئی کے بھاؤ میں استحکام رہا بین الاقوامی کاٹن مارکیٹ میں بھی بھاؤمیں اتار چڑھاو,"['پاکستان', 'بھارت', 'کراچی', 'سندھ', 'پنجاب']"
3,آئی بی ایم نے آصف احمد کو آئی بی ایم پاکستان کا جنرل منیجر مقرر کردیا ,"['ایم کے', 'پاکستان', 'افریقہ', 'کاروبار', 'ٹیکنالوجی']"
4,شاہد خاقان کی بلاول بھٹو سے ملاقات، این اے 249 میں (ن) لیگ کے امیدوار کیلئے حمایت مانگ لی,"['بلاول بھٹو زرداری', 'پاکستان', 'پیپلز پارٹی', 'عام انتخابات 2018', 'وزیراعظم', 'شیری رحمان', 'جمعیت', 'کراچی', 'مسلم لیگ (ن)', 'این اے249', 'شاہد خاقان عباسی', 'آصف علی زرداری']"
5,اینٹی کرپشن لاڑکانہ ریجن کی کرپٹ عناصر کے خلاف ایک اور کارروائی,"['سندھ', 'کرپشن']"
6,حکومت کو عوام کی مشکلات کا بخوبی احساس ہے پاکستان اب مشکلات سے نکل چکاہے،لال مالہی,"['قومی اسمبلی', 'غریب', 'پاکستان', 'عام انتخابات 2018', 'الیکشن', 'اسمبلی', 'پاکستان تحریک انصاف', 'وزیراعظم', 'تباہی', 'سوئی گیس', 'نادرا', 'شاہ محمود قریشی', 'سندھ', 'رمضان المبارک', 'بجٹ']"
7,عوام کو صحت کی سہولیات فراہم کرنے والے ادارے بھی مافیا کے ہاتھوں مجبور,['سندھ']
8,حکمران بے حسی کی تصویر بنے مغربی استعماری قوتوں کے ایجنٹ کا کردار ادا کررہے ہیں، عوام میں سخت تشویش پائی جاتی ہے، صاحبزادہ ابوالخیرمحمد زبیر,"['پاکستان', 'جمعیت', 'ریکارڈ', 'ڈاکٹر', 'احتجاج']"
9,جماعت اسلامی کاحیدرآبادمیںسرکاری اسکول کی عمارتوں پر قبضہ کر کے دوکانیں تعمیر کرنے پر اظہار تشویش,"['پاکستان', 'تعلیم', 'جماعت اسلامی', 'عدالت', 'سندھ', 'سپریم کورٹ', 'سندھ ہائیکورٹ']"
10,اسلام آباد، روزاینڈ جیسمین گارڈن میں مزیدگلاب اور موسمی پھولدار پودے لگائے جائیں گے، چیرمین سی ڈی اے,"['پانی', 'سی ڈی اے']"
11,چیئرمین سی ڈی اے کی پاک سیکرٹریٹ کی عمارت کی مخدوش حالت کو ایک ہفتے میں درست کرنے کی ہدایات جاری ,"['کار', 'سی ڈی اے']"
12,وزیراعظم کی صحت یابی کے لیے پیپلز پارٹی کے تمام کارکنان دعا گو ہیں،فیصل کریم کنڈی,"['وزیراعظم', 'پاکستان', 'کرونا وائرس', 'پیپلز پارٹی']"
