,headlines,categories,time
23,بلاول بھٹو لاہور قیام کے دوران جماعت اسلامی کی قیادت سے بھی ملیں گے، ذرائع,"['قمر زمان کائرہ', 'آصف علی زرداری', 'بلاول بھٹو زرداری', 'پاکستان', 'پیپلز پارٹی', 'لاہور', 'جماعت اسلامی']",2021-03-21T21:40:04+0500
24,قائد اعظم گولڈکپ نیشنل پولو چمپئن شپ ٹیم ڈائمنڈ نے جیت لی,"['شہریار خان', 'پولو', 'لاہور', 'کرونا وائرس', 'محمد علی جناح']",2021-03-21T21:40:04+0500
25,پاک، بھارت آبی تنازعات، پاکستانی انڈس واٹرکمیشن کا وفد(آج) بھارت روانہ ہوگا,"['بھارت', 'مذاکرات', 'سندھ', 'دہلی', 'مقبوضہ کشمیر', 'مسئلہ کشمیر', 'پاکستان', 'لاہور']",2021-03-21T21:40:03+0500
26,وفاقی حکومت کا چرنا جزیرے کو ’نیشنل سمندری پارک‘ قرار دینے کا فیصلہ,"['سندھ', 'بلوچستان', 'وزیراعظم', 'دنیا']",2021-03-21T21:40:03+0500
27,میری اور اہلیہ کی صحتیابی کیلئے دعاؤں پر سب کا شکر گزار ہوں، وزیراعظم,"['ڈاکٹر', 'بشریٰ بی بی', 'پاکستان', 'وزیراعظم', 'کرونا وائرس']",2021-03-21T21:40:02+0500
28,ملک کو چلانا ہے تو آئین پر عملدرآمد ناگزیر ہے،محمود خان اچکزئی,"['محمود خان اچکزئی', 'قتل', 'جمہوریت', 'دنیا', 'افغانستان', 'زخمی', 'امریکہ', 'جاں بحق', 'تعلیم', 'دہشت گرد', 'پاکستان', 'اقوام متحدہ', 'فوج', 'روس', 'پارلیمنٹ']",2021-03-21T21:35:05+0500
29,ًکرونا ایس او پیز پر عملدرآمد نہ ہونے کی صورت میں حکومت پبلک ٹرانسپورٹ بند کرنے پر مجبور ہو جائے گی,"['کرونا وائرس', 'پشاور', 'خیبرپختونخوا', 'لاہور']",2021-03-21T21:35:04+0500
30,wپشاور،10 ہزار سے زائد بزرگ شہریوں کو کورونا ویکسین دے دی گئی,"['خیبرپختونخوا', 'کرونا وائرس']",2021-03-21T21:35:03+0500
31,ں*بلوچستان کے عوام پر باہر سے مسلط طبقات نے تباہ کرکے رکھ دیا ،ہدایت الرحمان بلوچ ,"['جمہوریت', 'غریب', 'بجلی', 'مہنگائی', 'بلوچستان', 'کرپشن', 'تعلیم', 'پاکستان', 'علاج', 'عام انتخابات 2018', 'لوڈشیڈنگ', 'جماعت اسلامی', 'الیکشن']",2021-03-21T21:20:06+0500
32,ھ*جے یو آئی(س)پاکستان کواسلامی فلاحی ریاست بنانے کیلئے جدوجہد کررہی ہے،مفتی عبدالواحد,"['قرارداد', 'جمہوریت', 'جمعیت', 'غریب', 'مہنگائی', 'کرپشن', 'شہید', 'پاکستان', 'حریت پسند']",2021-03-21T21:20:05+0500
33,ض*حکمرانوں نے ملک کی باگ دوڑ آئی ایم ایف کے حوالے کردی ،مولانا عبدالحق ہاشمی,"['مہنگائی', 'بلوچستان', 'اسمبلی', 'جماعت اسلامی']",2021-03-21T21:20:05+0500
34,ق* اسلامی تہذیب کی بنیاد اخلاقی اقدار اور شرم و حیا پر ہے،مولانا عبدالکبیر شاکر,"['حملہ', 'دنیا', 'بلوچستان', 'کرپشن', 'جماعت اسلامی']",2021-03-21T21:20:04+0500
35,غ*ڈیرہ مراد جمالی ،گرین پاکستان کے پودے من پسند ٹھیکیداروں کو بانٹنے کا انکشاف,"['بلوچستان', 'کرپشن', 'تعلیم', 'پاکستان', 'پاکستان تحریک انصاف']",2021-03-21T21:20:04+0500
36,Y سمگلروں کیخلاف کارروائی ،تین ملزمان گرفتار,"['بلوچستان', 'پیٹرول', 'پولیس', 'ڈکیتی']",2021-03-21T21:20:04+0500
37,درخت لگانا صدقہ جاریہ ، درخت لگاکر ماحول کوصحت مند بنایا جا سکتا ہے،عبدالرحمن کیتھران,"['سونامی', 'وزیر اعلیٰ', 'پاکستان', 'کار']",2021-03-21T21:20:03+0500
38,ّ بلڈنگز کا محکمہ عوام کی تعمیر وترقی کیلئے بہترسے بہتر اقدامات کررہا ہے،غلام علی بلوچ ,['بلوچستان'],2021-03-21T21:20:03+0500
