,headlines,categories
0,ہرنائی ، پانچ وزہ پولیو مہم کو کامیاب بنانے کیلئے علماء کرام ،اساتذہ کرام سمیت تمام مکاتب فکر کو اپنا کردار ادا کرنا ہوگا ، ہیلتھ آفیسر مظفرشاہ,"['ڈاکٹر', 'کار', 'پاکستان', 'موبائل', 'پولیو']"
1,ہرنائی ،جدید طرز تعلیم میں ٹیکنالوجی کی اہمیت مسلم ہے ،طلباء اپنی تمام ترتوجہ اپنی تعلیم پر مرکوز کرے ، صوبائی وزیر نورمحمد خان دمڑ ,"['ڈاکٹر', 'وزیراعظم', 'پولیس', 'بم دھماکہ', 'شہید', 'بلوچستان', 'ٹیکنالوجی', 'جمعیت', 'کار', 'زخمی', 'گاڑی', 'شادی', 'تعلیم', 'عام انتخابات 2018']"
2,کوئٹہ،گورنمنٹ مائنز لیبر ویلفیئرٹیچرز ایکشن کمیٹی کے رہنمائوں کا بلوچستان گلوبل کے خواتین ٹیچرز پر تشدد کی مذمت ,['بلوچستان']
3,بسیمہ میں بجلی لوڈشیڈنگ کے خلاف شٹر ڈان ہڑتال و احتجاجی ریلی نکالی گئی ریلی,"['احتجاج', 'کاروبار', 'جمعیت', 'تباہی', 'تھانہ', 'واپڈا', 'بجلی', 'لوڈشیڈنگ', 'علما', 'سی پیک']"
4,مضان المبارک میں وفاقی ، صوبائی و ضلعی حکومتیں عوام کو ریلیف پہنچانے کے اقدامات کریں،سراج الحق ,"['آئی ایم ایف', 'طوفان', 'دنیا', 'رمضان المبارک', 'تباہی', 'پاکستان', 'کرونا وائرس', 'سراج الحق', 'تعلیم', 'جماعت اسلامی', 'مہنگائی', 'پاکستان تحریک انصاف']"
5,سینیٹ میں اپوزیشن لیڈر کے تقرر کیلئے تمام حزب اختلاف کو مشاورت کے ساتھ فیصلہ کرنا چاہیے،قیصر شریف,"['آصف علی زرداری', 'پاکستان', 'سینیٹ', 'جماعت اسلامی', 'بلاول بھٹو زرداری']"
6,پاکستان ایک نظریے، فلسفے، نصب العین اور ایک واضح مقصد کا نام ہے،محمد کاشف چوہدری ,"['نقصان', 'یوم پاکستان', 'پاکستان', 'محمد علی جناح']"
7,کمرشل بینکنگ سرکل کی بڑی کارروائی،غیر قانونی طور پر غیر ملکی کرنسی کا کاروبار میں ملوث دو منی چینجر گرفتار,"['اسلام آباد', 'ڈالر', 'ریال', 'کاروبار', 'سعودی', 'امریکہ']"
8,چیئرمین نارملائزیشن کمیٹی پاکستان فٹبال فیڈریشن فوری طور پر پی ایف ایف کے الیکشن شیڈول کا اعلان کرے،سید شرافت حسین بخاری ,"['سپریم کورٹ', 'پاکستان', 'فٹبال', 'ہوٹل', 'عام انتخابات 2018', 'الیکشن', 'عدالت']"
9,صوبہ خیبر پختونخوا میں تونائی کے شعبے میں سرمایہ کار ی کے زبردست مواقع موجود ہیں، حمایت اللہ,"['ڈاکٹر', 'بجلی', 'سی پیک']"
10,یوم پاکستان پریڈ، حکومت نے موبائل فون سروس بند کرنے کااعلان کر دیا,"['اسلام آباد', 'پولیس', 'ٹریفک', 'پاکستان', 'موبائل', 'یوم پاکستان', 'بارشیں']"
11,ڈپٹی کمشنر آٖ فس راولپنڈی میں پیٹرول پمپس کے این او سی کے حوالے سے ون ونڈو آپریشن سیل قائم کیا گیا ہے،کیپٹن(ر) قاسم اعجاز,"['پاکستان', 'میٹرو', 'پیٹرول', 'این او سی']"
12,ٰراولپنڈی پولیس نے شہدائے پولیس کو خراج تحسین پیش کرنے کے لئے پولیس کیلنڈر سال 2021 کا اجراکر دیا,['پولیس']
13,راولپنڈی، موٹرسائیکل چوری کی وارداتوں میں مطلوب3ملزمان گرفتار,"['تھانہ', 'پولیس']"
14,راولپنڈی، پولیس نے مختلف مقدمات میں مطلوب 4اشتہاری گرفتارکر لئے,"['تھانہ', 'قتل', 'پولیس']"
15,راولپنڈی پولیس کی کاروائی میں1منشیات فروش سمیت6ملزمان گرفتار، 1کلو710 گرام چرس،4پستول30بور برآمد ,"['تھانہ', 'پولیس', 'منشیات']"
16,راولپنڈی،موٹر وے پولیس نے ساڑھے 4لاکھ روپے مالیت کے گمشدہ زیورات ملک تک پہنچا دیئے,"['گاڑی', 'پولیس', 'موٹروے', 'لاہور']"
17,سٹی ٹریفک پولیس راولپنڈی کا کل یوم پاکستان پریڈ کیلئے خصوصی ٹریفک پلان جاری ,"['پولیس', 'ٹریفک', 'مری']"
18,راولپنڈی،ایف آئی اے انسپکٹر کی مبینہ بلیک میلنگ اور دھمکیوں سے تنگ شہری انصاف کے حصول ،داد رسی کے لئے درخواستیں دیتے اور انصاف کی اپیل کرتے خوار ,"['اسمبلی', 'عدالت', 'وزیراعظم', 'کاروبار']"
19,الہ آباد/ٹھینگ موڑ،حالیہ آندھی اور طوفانی بارش سے گندم،سٹرابری اور مکئی کی فصلیں شدید متاثر،کسان رہنماؤں کاوزیر اعلیٰ پنجاب سے کسان ریلیف پیکج دینے کا مطالبہ ,"['عثمان بزدار', 'نقصان', 'طوفانی بارش', 'پنجاب', 'بارشیں', 'وزیر اعلیٰ']"
20,ًراولپنڈی ،این سی او سی کے 24 مارچ کے تعلیم دشمن فیصلے کو مسترد کرتے ہیں،ابرار احمد خان,"['تعلیم', 'احتجاج', 'کرونا وائرس', 'شادی']"
21,پیپلز پارٹی کا 26 مارچ کو مریم نواز کی نیب پیشی کی ریلی میں بھر پور شرکت کرنے کا فیصلہ,"['قمر زمان کائرہ', 'ایم کے', 'مسلم لیگ (ن)', 'پاکستان', 'مریم نواز شریف', 'پنجاب', 'پیپلز پارٹی']"
22,چیف جسٹس پاکستان سے قومی اقلیتی کمیشن کے وفد کی ملاقات,"['ڈاکٹر', 'سپریم کورٹ', 'پاکستان', 'چیف جسٹس', 'عدالت']"
23,سرکاری محکموں اور اداروں میں اصلاحات تحریک انصاف کے منشور کا اہم حصہ اور موجودہ حکومت کی ترجیح ہے،محمود خان,"['ڈاکٹر', 'پولیس', 'پاکستان', 'کار', 'خیبرپختونخوا', 'پنجاب', 'ووٹ', 'پاکستان تحریک انصاف']"
24,محکمہ ٹرانسپورٹ خیبر پختونخوا کی کورونا ایس اوپیز کی خلاف ورزی پر کاروائیوں کی ہفتہ وار رپورٹ جاری ,"['کرونا وائرس', 'پشاور', 'بنوں']"
25,ضلعی انتظامیہ کا پشاور بھر میںکورونا ضابطہ اخلاق کی خلاف ورزی پر کریک ڈائون ,"['کرونا وائرس', 'پشاور', 'پولیس', 'پیٹرول']"
26,پشاور، چیف ٹریفک آفیسر کا ٹریفک نظام کا جائزہ لینے کیلئے شہر کے مختلف مقامات کا دورہ ,"['پولیس', 'گاڑیاں', 'ٹریفک', 'کار', 'سڑک']"
27,محکمہ فوڈ اور انتظامیہ کی ملی بھگت ، سمبڑیال و گردونواح میں مضرصحت سرکاری آٹے کے نام پر بیماریوں کی فروخت جاری ,"['احتجاج', 'عثمان بزدار', 'پنجاب', 'وزیراعلیٰ پنجاب', 'غریب', 'مہنگائی']"
28,راولپنڈی،نشہ کوئی بھی ہوخطرناک ہے معاشرہ کونشے سے پاک کرنے کے لئے حکومت اپنے وسائل کااستعمال عمل میں لارہی ہے ، افشاں تحسین باجوہ ,"['وزیراعظم', 'پاکستان']"
29,راولپنڈی ویسٹ مینجمنٹ کمپنی کی خصوصی صفائی آگاہی مہم دستک ,"['ڈینگی', 'کرکٹ', 'کرونا وائرس', 'بارشیں', 'کمپنی']"
30,ویکسینیٹر ویلفیئر ایسوسی ایشن کی جانب سے حیدرآباد پریس کلب پر احتجاجی مظاہرہ کیا گیا,"['سندھ', 'احتجاج']"
31,آرٹس کونسل آف پاکستان کراچی میں ڈاکٹر سعد خان کی کتاب ’’محمد علی جناح… دولت،جائیداد، وصیت‘‘ کی تقریب رونمائی,"['ڈاکٹر', 'کراچی', 'قائداعظم', 'پاکستان', 'کار', 'محمد علی جناح']"
32,واٹر بورڈ کے ملازمین کو ریٹائرمنٹ واجبات کی ادائیگی رمضان المبارک سے قبل کی جائے،یونائیٹڈورکرز یونین,"['کراچی', 'مسیحی برادری', 'رمضان المبارک']"
33,فائر فائٹرز ایکشن کمیٹی کے وفد کی سید ذوالفقارشاہ کی سربراہی میںایڈمنسٹریٹرکے ایم سی سے ملاقات,['علاج']
34,ٹریکس جم ویئرز نے خالد بن ولید روڈپرشوروم کا افتتاح کردیا,"['کراچی', 'پاکستان', 'کھیل']"
35,ایف بی آر کی ٹیکس فائلرز کو پروفائل اپ ڈیٹ کرنے کی ہدایت ,"['جرمانہ', 'کرایہ', 'بجلی', 'کاروبار']"
36,کراچی میں انوکھا نوسرباز گروہ سرگرم، شہریوں کی نظربندی کر کے لوٹ مار کی انوکھی وارداتیں سامنے آگئیں,"['کراچی', 'پولیس', 'کمپنی']"
37,کے ای سی کی اے پی این ایس کے نو منتخب عہدیداروں کو مبارکباد,"['کراچی', 'جمہوریت', 'پاکستان']"
38,تاجروں کے مسائل حل کرانا اُن کی اوّلین ترجیح ہے وہ مسائل کے حل کے لئے ہر پلیٹ فارم پر آواز اُٹھائیں گے،سلیم الدین قریشی ,"['کرونا وائرس', 'ڈاکٹر', 'چین']"
39,مہران یونیورسٹی اور پناکل کنسلٹیشن گروپ کے درمیان معاہدہ ،فریقین اپنی مہارتیں،فنی معلومات،ایجادات اورتحقیق کا تبادلہ کریں گے,"['ڈاکٹر', 'ٹیکنالوجی']"
40,روحانی بزرگ حضرت شاہ مفتی محمد محمودالوریؒ کے عرس کے سلسلے میں ہفتہ کو عظمت اولیاء کانفرنس منعقد ہوگی,"['جمعیت', 'ڈاکٹر', 'پاکستان']"
41,کووڈ کی صورتحال میں اکیلے سفر کرنا خطرے سے خالی نہیں: ماحور شہزاد,"['کرونا وائرس', 'بیڈ منٹن', 'پاکستان']"
42,میانمار: سیکیورٹی فورسز کی فائرنگ 7 سالہ بچی اپنے والد کی گود میں دم توڑ گئی,"['پولیس', 'فائرنگ', 'احتجاج', 'ہلاک', 'فوج', 'برما', 'قیدی ', 'عام انتخابات 2018', 'قتل']"
43,شہزادہ ہیری نے ذہنی صحت کے ادارے میں ملازمت اختیار کرلی,"['ملازمت', 'کینیڈا', 'امریکہ']"
44,نئی امریکی انتظامیہ کا بغداد کے ساتھ دو طرفہ مذاکرات جاری رکھنے کا فیصلہ,"['عراق', 'فوج', 'وائٹ ہاؤس', 'داعش', 'کار', 'مذاکرات', 'امریکہ']"
45,کورونا کی تیسری لہر، فرانس میں دو وزراء کا کورونا ٹیسٹ مثبت ، ہسپتال میں داخل ,"['کرونا وائرس', 'فرانس', 'علاج']"
46,جرمن چانسلر آفس کی طرف سے ’آٹوموبائل سمٹ‘ کا انعقاد,"['جرمنی', 'یورپ', 'کار']"
47,لینڈ مافیا مہذب معاشرے میں ناسور ہیں جن کا خاتمہ سندھ حکومت کی اولین ذمہ داری ہے،مخدوم محبوب الزمان ,"['پولیس', 'سندھ', 'کراچی', 'سپریم کورٹ', 'پاکستان', 'این او سی', 'عدالت']"
48,مرحوم ملازمین کے لواحقین میں سے جن افراد کو ملازمت دینا مقصود ہے ان کی فہرست فوری فراہم کی جائے،ایڈمنسٹریٹرکراچی,"['سندھ', 'کراچی', 'ملازمت', 'بلدیاتی انتخابات']"
49,ضمنی انتخاب کے لئے پاسبان کے نامزد کردہ امیدوار کے کاغذات نامزدگی منظور,"['ریکارڈ', 'کاغذات نامزدگی', 'بلدیاتی انتخابات', 'عام انتخابات 2018', 'الیکشن کمیشن', 'الیکشن']"
50,ملک کی سمت کو درست کرنے کے لیے قوم کو مخلص و دیانتدار قیادت کا انتخاب کرنا ہوگا، محمدحسین محنتی,"['دنیا', 'سندھ', 'قرارداد', 'پاکستان', 'اسمبلی', 'یوم پاکستان', 'تعلیم', 'جماعت اسلامی']"
51,ڈریپ کے چالیس لاکھ سے زیادہ ریکارڈ فائل ڈیجیٹل نظام پر کرنے کے لیے جدید ریکارڈ مینجمنٹ سسٹم نپاکستان کے حوالے,"['ڈاکٹر', 'وزیراعظم', 'ریکارڈ', 'پاکستان', 'یو ایس ایڈ', 'چین', 'امریکہ']"
52,لاڑکانہ، صحافی برادری کا اجے لالوانی کے قاتلوں کی عدم گرفتاری اور صحافیوں کو ملنے والی دھمکیوں کے خلاف احتجاجی ریلی ,"['ریاض', 'قتل', 'احتجاج']"
53,یوٹیلیٹی خدمات فراہم کرنے والے ادارے مشترکہ لائحہ عمل اختیار کریں، ایڈمنسٹریٹر کراچی لئیق احمد,"['ڈاکٹر', 'شہید', 'کراچی', 'بلدیاتی انتخابات', 'بجلی', 'کے الیکٹرک']"
54,۔کراچی، میونسپل کمشنر شعیب احمد ملک کی زیر صدارت شب برات اور آئند برسات سے قبل انتظامات کو یقینی بنانے کے حوالے سے اجلاس ,['بلدیاتی انتخابات']
55,خیبرپختونخوا میں کورونا وائرس کی برطانوی قسم کی تصدیق,"['خیبرپختونخوا', 'پشاور', 'کرونا وائرس']"
56,نیب ایگزیکٹو بورڈ کا اہم اجلاس، 12 کرپشن کیسز کی باقاعدہ انکوائریز کی منظوری,"['سندھ', 'کار', 'کرپشن', 'چیئرمین نیب']"
57,کورونا کی تیسری لہر کو کسی طرح بھی غیر سنجیدہ نہیں لینا چاہیے،وزارت صحت ,"['ریکارڈ', 'ملتان', 'بلوچستان', 'لاہور', 'سندھ', 'مسئلہ کشمیر', 'علاج', 'خیبرپختونخوا', 'پنجاب', 'کرونا وائرس', 'جاں بحق', 'پشاور']"
58,پاکستان میں مالی سال 2020 میں اسلامی بینکوں کے اثاثوں میں 30 فیصد اضافہ,"['کرونا وائرس', 'ڈالر', 'پاکستان', 'ریکارڈ']"
59,پاکستان کا افغانستان امن عمل دوبارہ منظم کرنے کی کوششوں کا خیر مقدم,"['طالبان', 'القاعدہ', 'جمہوریت', 'داعش', 'پاکستان', 'اقوام متحدہ', 'مذاکرات', 'عسکریت پسند', 'بھارت', 'افغانستان', 'حملہ', 'دھمکی']"
60,گزشتہ 24 گھنٹوں میں کورونا کے 151نئی کیسزرپورٹ،1266افرادصحتیاب ہوئی ،وزیراعلی ٰسندھ,"['سندھ', 'کراچی']"
61,پاکستان اسٹاک ایکسچینج انتظامیہ اور بورڈ آف ڈائریکٹرز کی دوئم ترمیمی ایکٹ 2021 کے ذریعے سیکشن 65 سی کے تحت ان لسٹمنٹ پر ٹیکس کریڈٹ کے خاتمے کی تجویز ,"['کمپنی', 'پاکستان', 'چین', 'اسٹاک ایکسچینج']"
62,میٹرو پاکستان کا ایف بی آر کے ساتھ اشتراک میں اپنے تمام پوائنٹ آف سیلز کو ای ڈی ایس کے ساتھ ضم کرنے کا عمل مکمل ,"['ڈاکٹر', 'ریکارڈ', 'کاروبار', 'کار', 'پاکستان', 'میٹرو']"
63,پاک سوزوکی نے 2 سال کے بعد 2020کی چوتھی سہ ماہی میں ایک ارب کا ریکارڈ منافع کمالیا ,"['ڈالر', 'ریکارڈ', 'کراچی', 'کار', 'کمپنی']"
64,عالمی مارکیٹ میں پاکستانی برآمدات کے فروغ م کیلئے معاشی و تجارتی سفارت کاری کی حکمت عملی بنائی جائے،کاٹی,"['کرونا وائرس', 'وزیراعظم', 'بجٹ', 'جنرل قمر جاوید باجوہ']"
65,پاکستان مرکنٹا ئل ایکسچینج لمیٹیڈ میں میٹلز، ا نرجی ، کوٹس اور انڈیکس کی10.1ارب مالیت کے سودے ,['پاکستان']
