,headlines,categories,time
0,لاہور میں مکمل لاک ڈاؤن نافذ کیا جائے، محکمہ صحت نے حکومت سے مطالبہ کر دیا,"['ایف سی', 'کرونا وائرس', 'پی آئی اے', 'لاہور', 'علامہ اقبال', 'وزیراعظم', 'پاکستان']",2021-03-28T22:54:47+0500
1,کوئٹہ،پشتونخواملی عوامی پارٹی کا بنوں جانی خیل کے غیور عوام کی جانب سے جاری لانگ مارچ پر حملہ کرنے ، آنسو گیس پھینکنے اور ان کے راستے میں رکاوٹیں کھڑی کرنے کے ساتھ ساتھ پشتون تحفظ موومنٹ کے رہنمائوں منظور پشتین اور ایم این اے محسن داوڑ کی گرفتاری کی شدید مذمت,"['محسن داوڑ', 'پنجاب', 'اسلام آباد', 'لانگ مارچ', 'دھرنا', 'مولانا فضل الرحمن', 'ایم کے', 'احتجاج', 'حملہ', 'سوئی گیس', 'بنوں', 'عدالت', 'پی ٹی ایم', 'قتل']",2021-03-28T22:25:08+0500
2,؁کوئٹہ، نسیمہ حفیظ پانیزئی کاجانی خیل بنو کے المناک واقعہ کی مذمت ، احتجاجی دھرنے اور لانگ مارچ کے شرکاء سے یکجہتی کا اظہار,"['اسمبلی', 'لانگ مارچ', 'مذاکرات', 'بنوں', 'قومی اسمبلی']",2021-03-28T22:25:08+0500
3,غ*پشتونخواملی عوامی پارٹی کاہندو برادری کو ہولی کے تہوار کے موقع پر مبارکباد ,['اقلیت'],2021-03-28T22:25:08+0500
4,کراچی آج بھی 25سو ارب سالانہ ریوینو ملک کو دیتا ہے لیکن افسوس کہ اس شہر کے اپنے لوگ بے روزگار،پیاسے اور بنیادی سہولیات سے محروم ہیں ،سراج الحق,"['بنگلہ دیش', 'کراچی', 'بجلی', 'متحدہ قومی موومنٹ', 'پانی', 'سید مصطفی کمال', 'منور حسن', 'اسمبلی', 'گورنر', 'ووٹ', 'فلسطین', 'چیف جسٹس', 'عبدالستار افغانی', 'لاہور', 'سندھ', 'نعمت اللہ خان', 'سراج الحق', 'کے الیکٹرک', 'مردم شماری', 'ملتان', 'جماعت اسلامی', 'بلدیاتی انتخابات', 'مسئلہ کشمیر', 'بلاول بھٹو زرداری', 'پاکستان', 'آصف علی زرداری', 'سینیٹ', 'پشاور', 'تعلیم', 'شاہ احمد نورانی', 'بجٹ', 'پیپلز پارٹی', 'قومی اسمبلی']",2021-03-28T22:25:07+0500
5,mکوئٹہ،بلوچستان میں کورونا وائرس کے 28نئے کیسز کی تصدیق ,"['کرونا وائرس', 'بلوچستان']",2021-03-28T22:25:07+0500
6,غ*کوئٹہ ، بلوچستان نیشنل پارٹی کا ہندو برادری کو ہولی کے تہوار پردلی مبارکباد,"['بلوچستان', 'کار']",2021-03-28T22:25:07+0500
7,لله*کراچی ،ہم نے کلاشنکوف کا کلچر کلا شنکوف کے زریعے ختم نہیں کیا بلکہ سچ بول کر ختم کیا،سید مصفطی کمال ,"['پاک سرزمین پارٹی', 'مکہ المکرمہ', 'ووٹ', 'الیکشن', 'عام انتخابات 2018', 'سید مصطفی کمال', 'میرا', 'جدہ']",2021-03-28T22:25:05+0500
8,Hایم کیو ایم پاکستان کے اراکین قومی اسمبلی کا شہر کراچی میں گیس کی بدترین لوڈشیڈنگ اور بجلی کی نرخوں میں 2روپے 60پیسے کی اضافے کی تجویز پر اپنی گہری تشویش کا اظہار ,"['کراچی', 'اسمبلی', 'طوفان', 'پاکستان', 'مہنگائی', 'بجلی', 'متحدہ قومی موومنٹ', 'غریب', 'سوئی گیس', 'قومی اسمبلی', 'لوڈشیڈنگ']",2021-03-28T22:25:05+0500
9,ٴْکراچی،فیصل واوڈا نے عوام سے جھوٹ بولا تو عمران خان نے انہیں انعام دیا، انجینئرامیر مقام ,"['کراچی', 'امریکہ', 'امیر مقام', 'این اے249', 'فیصل واوڈا', 'ووٹ', 'مہنگائی', 'الیکشن', 'غریب', 'پانی', 'تباہی', 'دوہری شہریت', 'عام انتخابات 2018', 'میاں نواز شریف', 'مسلم لیگ (ن)', 'پاکستان']",2021-03-28T22:25:05+0500
