,headlines,categories,time
0,بیرونی طاقتیں پاکستان کو اندرونی طور پر کمزور کرنا چاہتی ہیں ، شاہ محمود قریشی ,"['کرپشن', 'پاکستان', 'شاہ محمود قریشی', 'ہالینڈ', 'بھارت', 'ملتان', 'وزیراعظم', 'سینیٹ', 'دنیا']",2021-02-28T23:22:17+0500
1,’آج پی ٹی آئی کے ساتھ ہیں لیکن آئندہ کا کچھ پتہ نہیں‘ ,"['صوبائی اسمبلی', 'پاکستان', 'الیکشن', 'پاکستان تحریک انصاف', 'متحدہ قومی موومنٹ', 'کراچی', 'عام انتخابات 2018', 'مذاکرات', 'حفیظ شیخ', 'ووٹ', 'اسمبلی', 'سینیٹ']",2021-02-28T23:01:10+0500
2,پی ایس ایل 6، لاہور قلندرز نے کراچی کنگز کو 6 وکٹوں سے ہرا دیا,"['کراچی کنگز', 'پاکستان سپر لیگ', 'لاہور', 'پاکستان', 'بارشیں', 'کھیل', 'مسیحی برادری', 'سنچری', 'کراچی', 'لاہور قلندرز']",2021-02-28T23:00:24+0500
3,سینٹ کے امیدوار عبدالحفیظ شیخ کی رکن قومی اسمبلی اسلم بھوتانی سے ملاقات,"['گوادر', 'قومی اسمبلی', 'حفیظ شیخ', 'وزیراعظم', 'ووٹ', 'اسمبلی', 'پارلیمنٹ']",2021-02-28T22:55:12+0500
4,ضمنی انتخابات کے بعد پی ڈ ی ایم سینیٹ انتخابات میں بھی بھر پور کامیابی حاصل کریگی ،حاجی علی مدد جتک ,"['بلوچستان', 'پیٹرول', 'پاکستان', 'کاروبار', 'احتجاج', 'پیپلز پارٹی', 'عام انتخابات 2018', 'وزیراعظم', 'مہنگائی', 'سینیٹ']",2021-02-28T22:55:12+0500
5,عوامی نیشنل پارٹی کے رہنماء اسد خان اچکزئی کا قتل در اصل حکومت کیلئے لمحہ فکر یہ ہے ، جمال شاہ کاکڑ ,"['بلوچستان', 'پاکستان', 'امن و امان', 'مہنگائی', 'قتل']",2021-02-28T22:55:12+0500
6,پاکستان نیشنل کونسل آف آرٹس کا جام شورو میں علاقائی دفتر قائم ہوگا,"['پاکستان', 'کار', 'سندھ', 'ڈاکٹر', 'دنیا']",2021-02-28T22:55:11+0500
7,حیدرآباد،پی ٹی سی ایل سینٹرل ایکسچینج میں شدید آتشزدگی سے پی ٹی سی ایل اور یوفون کا نظام بیٹھ گیا,"['کمپنی', 'گاڑیاں', 'آتشزدگی', 'انٹرنیٹ']",2021-02-28T22:55:11+0500
8,بلو چستان میں کو رونا وا ئر س کے 4نئے کیسز رپورٹ ،متاثرہ افراد کی تعداد 19049ہوگئی,"['کرونا وائرس', 'کوئٹہ']",2021-02-28T22:55:11+0500
9,لوگوںکی جان و مال کی ذمہ داری حکومت پر عائد ہے،حکمران عوام کو تحفظ دینے میں ناکام ہو چکے ہیں،مولانا عبد الحلیم مد نی ,"['مولانا سمیع الحق', 'امریکہ', 'اسرائیل', 'نیٹو', 'ڈکیتی', 'شہید', 'جمعیت', 'قتل']",2021-02-28T22:55:11+0500
10,سردار علی گوہر خان مہر کی جانب سے جی ڈی اے کے سربراہ پیر پگارا کے اعزاز میں چائے پارٹی کا اہتمام کیاگیا,"['کرپشن', 'ارباب غلام رحیم', 'الیکشن', 'سندھ', 'ڈاکٹر', 'عام انتخابات 2018', 'سیّد شاہ مردان شاہ', 'سینیٹ']",2021-02-28T22:55:10+0500
11,خالق کائنات نے محمد عربیؐ ، خلفائے راشدین اور صحابہ کرام کا قرآن مجید میں تذکرہ فرماکر امتِ محمدیہ پر احسان عظیم فرمایا،علامہ اورنگزیب فاروقی ,"['سندھ', 'کراچی', 'دنیا', 'عام انتخابات 2018']",2021-02-28T22:55:10+0500
12,شہزاد رائے کے بچپن کے دوست کا امریکا سے کراچی آتے ہوئے اچانک انتقال,"['پاکستان', 'دبئی', 'کراچی', 'ٹوئٹر', 'ائیرپورٹ']",2021-02-28T22:55:10+0500
13,ایم کیوایم نے انتخابی سیاست میں اترنے سے پہلے مزدوروں کو شعور اور نظریہ سے روشناس کرایا،ڈاکٹر خالد مقبول صدیقی,"['خالد مقبول', 'پاکستان', 'کار', 'قومی اسمبلی', 'سندھ', 'متحدہ قومی موومنٹ', 'ڈاکٹر', 'کراچی', 'پیپلز پارٹی', 'غریب', 'اسلام آباد', 'اسمبلی']",2021-02-28T22:55:09+0500
14,عامر خان کی پی ایس ایل کے سبب ٹریفک جام میں پھنس کر زخموں کی تاب نا لا کر جاں بحق ہونیوالے اسامہ کے گھرآمد،والدین سے تعزیت کی,"['پاکستان سپر لیگ', 'ٹریفک', 'پاکستان', 'موبائل', 'زخمی', 'جاں بحق', 'سندھ', 'متحدہ قومی موومنٹ']",2021-02-28T22:55:09+0500
