,headlines,categories
0,آٹے اور چینی کی قیمتوں میں اضافہ افسوسناک ہی: حفیظ اللہ خاکسار,"['دنیا', 'تعلیم', 'پشاور', 'کرپشن', 'پاکستان', 'کار', 'جماعت اسلامی', 'منشیات', 'اسلحہ']"
1,پشاور،پیپلز پارٹی کا چاراپریل کرونا ایس او پیر کا خیال رکھتے ہوئے شہید ذوالفقار بھٹو کی برسی بھرپور انداز میں منانے کا فیصلہ,"['شہید', 'کرونا وائرس', 'غریب', 'پاکستان', 'جمہوریت', 'ذوالفقار علی بھٹو', 'بینظیر بھٹو']"
2,پوری کوشش ہے صارف کو کم نرخوں پر اشیاء خوردونوش فراہم کی جائیں: ڈپٹی کمشنر ایبٹ آباد,['مہنگائی']
3,پولیو ٹیمز ایس او پیز کا خیال رکھتے ہوئے کارکردگی کو بہتر بنائیں:مغیث ثناء اللہ,['پولیو']
4,کو رو نا کی تیسری لہر زیا دہ خطر نا ک ہے احتبیاط برتنا ہوگی: کمشنر ہزارہ ,"['خیبرپختونخوا', 'کرونا وائرس', 'گاڑی', 'پاکستان', 'گاڑیاں', 'کاروبار']"
5,معاون خصوصی اطلاعات کے پی کے کا مران بنگش کی مرحوم سینئر صحافی رحمت خان کے گھر آمد,['وزیر اعلیٰ']
6,پشاور:سی سی پی او عباس احسن کی سربراہی میں خصوصی کرائم میٹنگ کا انعقاد,"['شہید', 'کرونا وائرس', 'پولیس', 'پشاور', 'ٹریفک', 'منشیات']"
7,خیبرپختونخوا حکومت نے رمضان کے مہینے میں عوام کو سہولیات کی فراہمی یقینی بنانے کیلئے حکمت عملی تیار کرلی ,"['موبائل', 'مہنگائی', 'خیبرپختونخوا', 'کرونا وائرس', 'پولیس', 'رمضان المبارک', 'ٹریفک', 'بجلی', 'ڈاکٹر']"
8,کورونا ویکسینیشن کو بھی صحت کارڈ پلس اسکیم میں شامل کرنے کا فیصلہ ,"['کرونا وائرس', 'علاج']"
9,وزیر اعلی خیبر پختونخوا کا اچینی میں مکان کی چھت گرنے سے ایک ہی خاندان کے تین افراد کے جاں بحق ہونے پر افسوس کا اظہار ,"['پشاور', 'جاں بحق']"
10,شوکت ترین کہہ چکے، عمران خان کی پالیسیاں ناقص ہیں، مولا بخش چانڈیو,"['شوکت ترین', 'وزیراعظم', 'لانگ مارچ', 'پاکستان', 'پیپلز پارٹی']"
11,سوئی ناردرن گیس پائپ لائن خیبرپختونخو کا ضلع کرک میں سوئی گیس میٹرلگانے کاآغا ز ,"['سوئی گیس', 'تیل']"
12,حرم شریف میں تعصب اور تشدد پر مبنی نعرے بازی ناقابل قبول ہے،امام کعبہ شیخ ڈاکٹر عبدالرحمن السدیس ,"['وزارت داخلہ', 'دنیا', 'حج', 'مکہ المکرمہ', 'سعودی', 'خانہ کعبہ ', 'دہشت گرد', 'ڈاکٹر']"
13,جنوبی پنجاب سیکرٹریٹ کو مکمل طور پر فنکشنل کیا جائے گا ، غلط فہمیاں پھیلانے والوں کو ناکامی ہو گی، فردوس عاشق,"['پنجاب', 'ووٹ', 'پاکستان تحریک انصاف', 'وزیراعلیٰ پنجاب', 'الیکشن کمیشن', 'عثمان بزدار', 'ڈاکٹر', 'بجٹ', 'فردوس عاشق اعوان', 'عدالت', 'سپریم کورٹ', 'مسلم لیگ (ن)', 'این اے75', 'عام انتخابات 2018', 'الیکشن']"
14,"صوبائی سیکرٹری بلدیات نور الامین مینگل کی لاہور پریس کلب کے پروگرام"" میٹ دی پریس"" میں شرکت","['پنجاب', 'کمپنی', 'لاہور', 'پاکستان', 'بجلی', 'گاڑیاں', 'نور الامین']"
15,جمعتہ المبارک، لاہور پولیس کے سخت سکیورٹی انتظامات,['پولیس']
16,کراچی، شہرکے آخری سرے پر آبادیوں کو پانی کی فراہمی یقینی بنائی جائے ،ناصر حسین شاہ ,"['شہید', 'کراچی', 'پانی', 'مسیحی برادری', 'گرمی', 'بنک', 'لیاری', 'قطر', 'سانحہ گلشن اقبال لاہور']"
17,حکومتی ایس او پیز عمل درآمد کرنا ساری قوم کے مفاد میں ہے، پیر سید ادریس شاہ زنجانی,"['غریب', 'کرونا وائرس', 'پاکستان']"
