,headlines,categories
23,این اے 249 کا ضمنی انتخاب، چیئرمین پی ایس پی مصطفی کمال کے کاغذات درست قرار,"['سید مصطفی کمال', 'پانی', 'بجلی', 'کراچی', 'اسمبلی', 'عام انتخابات 2018', 'این اے249', 'قومی اسمبلی', 'فیصل واوڈا', 'پاکستان', 'پاک سرزمین پارٹی']"
24,حکومت سندھ کی جانب سے جے پی ایم سی ، این آئی سی وی ڈی اور این آئی سی ایچ کو چلانے کیلئے ایم او یو پر دستخط کرنے کیلئے وفاق سے درخواست,"['بجٹ', 'عدالت', 'ڈاکٹر', 'سیٹلائٹ', 'سپریم کورٹ', 'پاکستان', 'سندھ']"
25,آج کا دن ہماری تاریخ کا اہم ترین اور ناقابل فراموش دن ہے، مصطفی کمال ,"['سید مصطفی کمال', 'یوم پاکستان', 'جہاد', 'وزیراعظم', 'کراچی', 'لاہور', 'گورنر', 'قرارداد', 'بھارت', 'محمد علی جناح', 'پاکستان', 'دنیا', 'قائداعظم', 'پاک سرزمین پارٹی', 'کرپشن', 'مسئلہ کشمیر', 'علامہ اقبال']"
26,وفاقی حکومت نے تبدیلی کا نعرہ لگا کر عوام کو بیوقوف بنایا عوام نے انہیں مسترد کر دیا ، رکن اسمبلی سید نوید قمر ,"['کار', 'تباہی', 'پیپلز پارٹی', 'غریب', 'اسمبلی', 'مہنگائی', 'سوئی گیس', 'قومی اسمبلی', 'سندھ']"
27,یوم پاکستان پر ایم کیو ایم پاکستان کے کنو ینر ڈاکٹر خالد مقبو ل صدیقی کا خصوصی پیغام,"['یوم پاکستان', 'جدہ', 'ڈاکٹر', 'خالد مقبول', 'پاکستان', 'متحدہ قومی موومنٹ']"
28,گوادر،سی پیک سے نہ صرف مقامی افراد کی زندگیوں میں تبدیلی آئے گی بلکہ ملکی معیشت پر اسکے مثبت اثرات مرتب ہوں گے،شیر علی ارباب ,"['عابد شیر علی', 'جمہوریت', 'اسمبلی', 'پارلیمنٹ', 'سول سوسائٹی', 'قومی اسمبلی', 'پاکستان', 'سی پیک', 'گوادر']"
29,پاک سعودی عرب فضائی مشقیں رواں ماہ سرگودھا کے مصحف ایئر بیس میں ہونگی ,"['ترکی', 'سعودی عرب', 'سعودی', 'پاکستان']"
30,سینٹ میں قائد حزب اختلاف کیلئے یوسف رضا گیلانی کے نام کی تجویز مولانا فضل الرحمان کی طرف منسوب کرنے کی بات درست نہیں، ترجمان جے یو آئی اسلم غوری,"['کار', 'مولانا فضل الرحمن', 'ایم کے', 'مسلم لیگ (ن)', 'یوسف رضا گیلانی']"
31,"نیشنل پریس کلب اسلام آباد اور پاکستان سویٹ ہوم کے اشتراک سے معروف گلوکار راحت فتح علی خان کے گائے ہوئے نغمی"" سہارا بنیں"" ریلیز کرنے کی تقریب کا انعقاد","['ہوٹل', 'ٹکا خان', 'عبدالستار ایدھی', 'پاکستان', 'دنیا', 'حامد میر']"
32,کراچی،بلوچستان حکومت نے کئی دہائیوں سے نظر انداز شدہ لائیو اسٹاک سیکٹر کی ترقی کے لیے نئی لائیو اسٹاک پالیسی مرتب کرلی ہے، محمد طیب ,"['بجٹ', 'قلت', 'بنگلہ دیش', 'بلوچستان', 'چوہدری پرویز الٰہی', 'اقوام متحدہ', 'ڈاکٹر', 'پاکستان']"
