,headlines,categories
0,اسٹیٹ بینک کا عوامی مشاورت کیلئے ایک ڈجیٹل بینک ڈرافٹ ریگولیٹری فریم ورک تیار,"['کار', 'ٹیکنالوجی', 'پاکستان']"
1,آقا کریم ﷺ کا نظام ملک وقوم کی ترقی وخوشحالی اور دنیا کیلئے مشعل راہ ہی: محمد ثروت اعجاز قادری,"['کراچی', 'مہنگائی', 'دنیا', 'پاکستان', 'پانی', 'سندھ']"
2,کوئٹہ، لاپتہ مشتاق بلوچ، عطاء اللہ اور کبیر بلوچ سمیت تمام لاپتہ افراد کو رہا کیا جائی: سردار اختر جان مینگل کا ٹویٹ ,"['قومی اسمبلی', 'اسمبلی', 'بلوچستان', 'لاپتہ افراد']"
3,پاکستان میں روز بروز ماحولیاتی آلودگی میں اضافہ ہوتا جارہا ہے، پروفیسر روبینہ مشتاق,"['دنیا', 'پاکستان', 'ڈاکٹر', 'سانحہ گلشن اقبال لاہور', 'نقصان', 'ٹریفک']"
4,کراچی، سحر اسکولنگ انتظامیہ کیخلاف جھوٹی ایف آئی آر واپس لی جائے، آل پرائیویٹ اسکولز مینجمنٹ ایسو سی ایشن سندھ ,"['کراچی', 'تعلیم', 'طالبہ', 'سندھ', 'وزیر اعلیٰ']"
5,علما یونیورسٹی کی 14 ویں مینجمنٹ سائنسز اور انٹرپرینیورشپ کانفرنس,"['کراچی', 'دنیا', 'ماسکو', 'ڈاکٹر', 'محمد علی جناح', 'علما']"
6,جاپان کے سفیر کونینوری متسودا کا کورنگی فش ہاربر کا دورہ، ترقیاتی منصوبوں پر تبادلہ خیال,"['کراچی', 'پاکستان تحریک انصاف', 'پاکستان']"
7,محکمہ ایکسائز سندھ نے خیبرپختونخوا سے کراچی چرس لانے کی کوشش ناکام بنادی,"['کراچی', 'شہید', 'منشیات', 'پنجاب', 'سندھ', 'خیبرپختونخوا', 'پولیس']"
8,بلدیاتی خدمات کی تسلسل کے ساتھ فراہمی جاری ہے،میونسپل کمشنر ڈی ای ایم سی ایسٹ,"['سڑک', 'بلدیاتی انتخابات', 'شہید', 'سانحہ گلشن اقبال لاہور']"
9,ٹنڈوالہ یار ، گندم کے ذخیرہ اندازوں نے پنجے گاڑھ دیئے ,"['سول سوسائٹی', 'سندھ']"
10,گیلانی صاحب کو سینیٹر آپ نے منتخب کرایا جماعت اسلامی نے نہیں,"['مسلم لیگ (ن)', 'اسمبلی', 'احسن اقبال', 'فاٹا', 'سینیٹ', 'مریم نواز شریف', 'وزیراعظم', 'ووٹ', 'کرونا وائرس', 'پیپلز پارٹی', 'شیری رحمان', 'اے این پی', 'ایم کے', 'جماعت اسلامی', 'یوسف رضا گیلانی']"
11,بیرون ملک مقیم پاکستانیوں کی فلاح وبہبود اہم ترجیحات میں شامل ہے، وزیر خارجہ,"['پاکستان', 'اقوام متحدہ', 'مسئلہ کشمیر', 'کرونا وائرس', 'برطانیہ', 'مقبوضہ کشمیر', 'شاہ محمود قریشی']"
12,عالمی بینک نے پاکستان کیلیے 60 کروڑ ڈالر قرض کی منظوری دیدی,"['پاکستان', 'تعلیم', 'بجٹ', 'عالمی بینک', 'ڈالر']"
13,یوسف رضا گیلانی ایوان بالا میں اپوزیشن لیڈر مقرر،مسلم لیگ (ن) کے شدید تحفظات،مولانا فضل الرحمان سے شکایت کا فیصلہ,"['مسلم لیگ (ن)', 'میاں نواز شریف', 'بلوچستان', 'مریم نواز شریف', 'مولانا فضل الرحمن', 'ووٹ', 'پیپلز پارٹی', 'سینیٹ', 'یوسف رضا گیلانی']"
14,مریم کا شوہر کے ’داماد ایسوسی ایشن‘ سے متعلق بیان پر زوردار قہقہ,"['مسلم لیگ (ن)', 'پاکستان', 'مریم نواز شریف', 'عام انتخابات 2018', 'سوشل میڈیا', 'الیکشن', 'الیکشن کمیشن']"
15,ایف بی آر کے سوالنامے معاشی ترقی میں رکاوٹ ہیں: زاہد رفیق,"['ایف بی آر', 'کار', 'پاکستان']"
16,پی ڈی ایم اور پی ٹی آئی ایک ہی سکے کے دور خ ہیں ، سینیٹر سراج الحق,"['قومی اسمبلی', 'اسمبلی', 'سراج الحق', 'بنک', 'کرونا وائرس', 'ڈالر', 'جماعت اسلامی']"
17,ڈی پی او حافظ آباد کا با اثر شخص کی جانب سے بچے پر کتا چھوڑنے کے واقعے کا نوٹس,"['زخمی', 'تھانہ', 'ڈاکٹر']"
18,وزیراعلیٰ سندھ کا حسینہ معین کے انتقال پر دکھ و افسوس کا اظہار,['سندھ']
19,وزیراعلیٰ سندھ کی اے پی این ایس کے نومنتخب عہدیداروں کو مبارکباد ,"['سندھ', 'پاکستان']"
20,بنگلہ دیش کی 50ویں سالگرہ: وزیراعظم عمران خان کی حسینہ واجد کو دورے کی دعوت ,"['یوم پاکستان', 'بنگلہ دیش', 'پاکستان']"
21,ڈپٹی کمشنر بنوں نے دفہ 144 نافذ کر دیا,"['پولیو', 'پاکستان', 'بنوں']"
22,ایبٹ آباد میں 02 لاکھ چھ ہزار بچوں کو پولیو کے قطرے پلائے جائیں گے،ڈپٹی کمشنر,"['پولیو', 'قطر', 'ڈاکٹر']"
23,جمعیت طلبہ پشاور کا تعلیمی اداروں کی بندش کے خلاف انوکھااحتجاج ,"['جمعیت', 'پشاور', 'تعلیم', 'کرونا وائرس']"
24,جمعیت علماء اسلام ضم اضلاع کے کارکنوں کااحتجاجی مظاہرہ,"['جمعیت', 'ٹارگٹ کلنگ', 'بنوں', 'فاٹا', 'قتل', 'پشاور']"
25,لکی مروت،کورونا کی تیسری لہرکے پیش نظر دکانوں اور کاروباری مراکز کے دو روز کیلئے بندش کا نو ٹیفیکیشن جاری ,['کرونا وائرس']
26,لکی مروت ،منشیات فروشوں سے برآمد کی گئی منشیات تلف کردی گئی,"['منشیات', 'ہیروئن', 'پولیس']"
27,یونیورسٹی آف لکی مروت نے ایم اے اکنامکس اور ایم اے اسلامیات کے نتائج کا اعلان کردیا,"['عامر سہیل', 'سوات']"
28,کوٹلی میں کووڈ سمارٹ لاک ڈاؤن کا حکم جاری کر دیا گیا,"['مسئلہ کشمیر', 'عدالت', 'کرونا وائرس']"
29,پٹرول بحران: وفاقی وزراء کی کمیٹی نے ندیم بابر کو ذمہ دار قرار دیدیا ,"['وزیراعظم', 'اسد عمر', 'اعظم سواتی']"
30,پینشئنرز کے مسائل حل اور انہیں ان کا جائز حق ملے گا، تیمور جھگڑا,"['بجٹ', 'شاہ محمود قریشی', 'خیبرپختونخوا', 'پاکستان']"
31,وفاقی وزیر منصوبہ بندی اسد عمرکی زیر صدارت رشکئی اسپیشل اکنامک زون کی ترقی سے متعلق پیشرفت کا جائزہ اجلاس,"['سوئی گیس', 'بجلی', 'سی پیک', 'ڈالر']"
32,پنجاب میں 16 کروڑ روپے مالیت کی سرکاری اراضی قبضہ مافیا سے چھڑوا لی گئی,"['عثمان بزدار', 'پنجاب', 'کرپشن', 'پولیس']"
33,پارکنگ کے نام پر بھتہ خوری کرنے والے عناصر کے خلاف ایکشن تیار ,"['لاہور', 'فیس بک', 'پارکنگ فیس']"
