,headlines,categories
0,ایک ہفتے کے دوران روپے کی بڑی چھلانگ,"['مہنگائی', 'امریکہ', 'پاکستان', 'ڈالر', 'ریکارڈ', 'زرمبادلہ', 'کرونا وائرس']"
1,پارٹی کارکنان و عوام آج صوبے بھر میں شٹر ڈاؤن ہڑتال کو کامیاب بنائیں ،سردار سربلند خان جوگیزئی ,"['بلوچستان', 'پاکستان']"
2,شہید اسد اچکزئی کے بہیمانہ قتل کی شدید الفاظ میں مذمت کرتے ہیں ، بلوچستان نیشنل پارٹی ,"['بلوچستان', 'قتل', 'اے این پی', 'شہید']"
3,ٹیکا کے منصوبے پاکستان اور ترکی کے مابین دوستی کے رشتوں کو مزید مستحکم کریں گے،گوجکان امت,"['غریب', 'سیلاب', 'تعلیم', 'پاکستان', 'ترکی']"
4,کھاریاں ،ڈاکوئوں کی فائرنگ سے ایلیٹ فورس کا جوان ذوالفقار شہید ہو گیا،تین ڈاکو ہلاک,"['تھانہ', 'ڈکیتی', 'پولیس', 'ہلاک', 'فائرنگ', 'شہید']"
5,اسد خان اچکزئی کو چند ماہ قبل اغواء اور اب شہید کردینا لمحہ فکریہ ہے ،حاجی علی مدد جتک,"['پیپلز پارٹی', 'قتل', 'بلوچستان', 'اصغر خان', 'پاکستان', 'اے این پی', 'شہید']"
6,حمزہ شہباز استقبالی جلو س کی وجہ سے تقریبا 4 گھنٹوں میں جیل سے رہائی کے بعد ماڈل ٹائون اپنی رہائش گاہ پہنچے ,"['جیل', 'حمزہ شہباز', 'پنجاب', 'گاڑی', 'اسمبلی', 'مریم نواز شریف', 'پنجاب اسمبلی']"
7,وزیر اطلاعات سندھ کی سربراہی میں پیپلز پارٹی کے چار رکنی وفد کی ایم کیو ایم پاکستان کے مرکز بہادر آباد آمد، سینٹ الیکشن پر بات چیت,"['پیپلز پارٹی', 'بلاول بھٹو زرداری', 'متحدہ قومی موومنٹ', 'پنجاب', 'شرجیل میمن', 'ایف سی', 'آصف علی زرداری', 'کراچی', 'وزیر اطلاعات', 'یوسف رضا گیلانی', 'ایم کے', 'سندھ', 'پاکستان تحریک انصاف', 'پاکستان', 'سینیٹ', 'درآمد', 'عام انتخابات 2018']"
8,صحافت ریاست کا چوتھا اہم ستون ہے، حقیقی جمہوریت آزاد صحافت کے بغیر ممکن نہیں ہے، صوبائی سیکرٹری اطلاعات ,"['سوشل میڈیا', 'ٹیکنالوجی', 'جمہوریت']"
9,حقوق نسواں کے مصنوعی نعرے عورت کے وقار اور خاندان کے وجود کی دھجیاں بکھیرنے کے متراد ف ہیں ،افشاں نوید,"['جماعت اسلامی', 'تعلیم', 'احتجاج', 'ملازمت', 'پاکستان', 'عام انتخابات 2018']"
10,حکمرانوں نے ماضی کی نسبت بہت زیادہ مایوس کیا، سراج الحق ہی نوجوانون کے لیے امید کی آخری کرن ہیں،زبیراحمدگوندل,"['مہنگائی', 'کرپشن', 'جماعت اسلامی', 'تعلیم', 'سراج الحق', 'سندھ', 'تباہی', 'پاکستان', 'جلسہ']"
11,سجاول بدین روڈ پر دیوان شوگرملزکے قریب ڈاٹسن پک اپ ٹائرنکلنے سے الٹ کرکھائی میں جاگری ،بیس افراد زخمی ,"['جاں بحق', 'زخمی', 'علاج', 'کراچی']"
12,سجاول ضلع ہیڈکوارٹر شہرمیں غیراعلانیہ اور اضافی بجلی لوڈ شیڈنگ کی وجہ سے شہری ذہنی ومعاشی پریشانی کا شکار,"['پانی', 'احتجاج', 'کاروبار', 'بجلی']"
13,سجاول میں آوارہ کتوں کی بہتات ، سگ گزیدگی کے واقعات میں اضافہ ,"['تھانہ', 'حملہ', 'نادرا', 'کراچی', 'عدالت']"
14,بی آر ٹی کرپشن کا گڑھ ہے جو آج تک نااہل حکومت مکمل نہیں کر سکی،سینیٹر روبینہ خالد,"['پیپلز پارٹی', 'بلاول بھٹو زرداری', 'کرپشن', 'پاکستان', 'پاکستان تحریک انصاف', 'خیبرپختونخوا', 'عام انتخابات 2018']"
15,بلوچستان میں کو رونا وا ئر س کے 7نئے کیسز رپورٹ ،متاثرہ افراد کی تعداد 19045ہوگئی ,['کوئٹہ']
16,نیب راولپنڈی کی سابق وزیر خزانہ اسحاق ڈار کیخلاف انکوائری بند کرنے کی سفارش ,"['اسحاق ڈار', 'ہوٹل', 'وزیر قانون', 'چیئرمین نیب', 'ڈالر', 'امریکہ', 'چوہدری محمد سرور خان', 'نقصان', 'نجکاری', 'سینیٹ', 'رضا ربانی']"
17,27 فروری 2019 کوپاکستانی فضائیہ کے ہاتھوں شکست کھاکر پاک سرزمین پر گرفتار ہونے والے بھارتی پائلٹ ابھی نندن کا خصوصی بیان,"['بھارت', 'فوج', 'مسئلہ کشمیر', 'زخمی', 'پاکستان فضائیہ', 'ابھیندن', 'پاکستان']"
18,نیب راولپنڈی نے تین اہم وزراء کیخلاف انکوائری کی سفارش کردی ,"['وکلا', 'ہوٹل', 'وزیر قانون', 'چیئرمین نیب', 'ڈالر', 'امریکہ', 'چوہدری محمد سرور خان', 'نقصان', 'عدالت', 'نجکاری', 'سینیٹ', 'رضا ربانی']"
19,پشتونخواملی عوامی پارٹی کی عوامی نیشنل پارٹی کے صوبائی سیکرٹری اطلاعات کی نعش برآمدگی کے افسوسناک واقعہ کی مذمت,"['اے این پی', 'کوئٹہ', 'منشیات', 'جمہوریت']"
20,نیشنل پارٹی کی عوامی نیشنل پارٹی صوبائی اطلاعات سیکرٹری اسد خان اچکزئی کی قتل کی مذمت ,"['بلوچستان', 'امن و امان', 'قتل']"
21,جماعت اسلامی کے امیر سنیٹرسراج الحق 14مار چ کو ڈیرہ اللہ یار میں جلسہ عام سے خطاب کریں گے ,"['مہنگائی', 'سیلاب', 'جماعت اسلامی', 'کراچی', 'بلوچستان', 'سراج الحق', 'تباہی', 'کوئٹہ', 'پاکستان', 'جلسہ', 'شہید']"
22,بی این پی کے سربراہ سر دار اختر جان مینگل کی وزیر تعلیم سر دار یار محمد رند سے تفصیلی ملا قات,[]
23,جمعیت علماء اسلام بلو چستان نے عوامی نیشنل پارٹی کے اعلان کر دہ شٹر ڈائون ہڑ تال کی حما یت کر دی ,"['بلوچستان', 'جمعیت', 'کوئٹہ']"
