,headlines,categories
0,فوٹو جرنلسٹ ایسوسی ایشن کے صدر اقبال چوہدری کے اعزاز میں رہنما مسلم لیگ ن قیصر امین بٹ کا عشائیہ,[]
1,پی ٹی آئی حکومت میں سرکاری اداروں کے ملازمین ہر روز سراپا احتجاج ہیں مگر حکومت مطالبات کو سنی ان سنی کر رہی ہے،لیاقت بلوچ ,"['پنجاب', 'جماعت اسلامی', 'ملازمت', 'پاکستان', 'مذاکرات', 'احتجاج', 'دھرنا', 'پاکستان تحریک انصاف', 'لیاقت بلوچ', 'مہنگائی', 'مولانا فضل الرحمن', 'لاہور']"
2,سی سی پی او لاہور غلام محمود ڈوگر کا ڈولفن ہیڈ کوارٹرز کا وزٹ پولیس ریسپانس یونٹ کی گاڑیوں کی انسپکشن,"['گاڑیاں', 'پولیس', 'گاڑی', 'کار', 'لاہور']"
3,جنگلات ہمارے ملک کی ریڑ کی ہڈی کی حیثیت رکھتے ہیں : کمشنر ہزارہ ڈویژن,"['عدالت', 'سونامی', 'ریاض', 'ریکارڈ', 'پولیس']"
4,گرین سٹار سوشل مارکیٹنگ ضم شدہ اضلاع میں بتعاون ڈی ایچ او آفسز مہمند، خیبر ، اور اپرکرم ماں اور بچوں کے صحت کی بہتری کیلئے فری میڈیکل کیمپ کا انعقاد,"['ڈاکٹر', 'فاٹا', 'پولیو']"
5,سوات :پانچ روزہ قومی انسداد پولیو مہم کیلئے تمام انتظامات مکمل,"['سوات', 'ڈاکٹر', 'تعلیم', 'پولیو', 'پولیس']"
6,پشاور:تعلیمی اداروں میں کورونا سے بچاو کے لیے ضلعی انتظامیہ کے اقدامات جاری,['کرونا وائرس']
7,امریکی ڈیمو کریٹ رہنما طاہر جاوید کی وزیر خارجہ شاہ محمود قریشی سے ملاقات,"['افغانستان', 'امریکہ', 'پاکستان', 'شاہ محمود قریشی']"
8,چینی صدر کا کورونا وائرس میں مبتلا وزیراعظم عمران خان کیلئے نیک تمناؤں کا اظہار,"['کرونا وائرس', 'پاکستان', 'چین', 'وزیراعظم']"
9,مریم نواز حاضر نہ ہوئیں تو آرڈیننس کے تحت کارروائی ہوگی، نیب ذرائع,"['مریم نواز شریف', 'مسلم لیگ (ن)', 'لاہور']"
