,headlines,categories,time
0,آل بلوچستان میرعنایت اللہ لانگو صوبائی شطر نج چمپیئن شپ 2021ء کا افتتاح,"['کوئٹہ', 'بلوچستان', 'وزیر اعلیٰ', 'کھیل']",2021-03-12T23:23:53+0500
1,گردوں کی بیماریوں سے متعلق عوام میں شعوری آگاہی کے لئے بھرپور مہم چلانے کی ضرورت ہی: پارلیمانی سیکرٹری صحت,"['بلوچستان', 'علاج', 'ڈاکٹر', 'پاکستان', 'دنیا']",2021-03-12T23:23:53+0500
2,صوبائی وزیر داخلہ میر ضیا اللہ لانگو نے صادق سنجرانی کو دوبارہ چیئرمین سینیٹ منتخب ہونے پرمبارکباد,"['بلوچستان', 'جمہوریت', 'پارلیمنٹ', 'سینیٹ']",2021-03-12T23:23:53+0500
3,کبرایس بابر کی رکنیتکا معاملہ :درخواست سماعت کیلئی18مارچ کو مقرر,"['عدالت', 'الیکشن کمیشن', 'الیکشن', 'پاکستان تحریک انصاف', 'سپریم کورٹ', 'سیاسی جماعتوں کی غیر ملکی فنڈنگ', 'عام انتخابات 2018', 'سماعت', 'ریکارڈ']",2021-03-12T23:23:53+0500
4,دارالعلوم فاروقیہ راولپنڈی میں کل علماء کرام کا بڑا اجتماع ہوگا,['پاکستان'],2021-03-12T23:23:53+0500
5,سی ڈی اے انتظامیہ کی ڈھوک چوہدریاں میں سرکاری اراضی پر تعمیرات کیخلاف کارروائی,"['جرمانہ', 'سی ڈی اے']",2021-03-12T23:23:53+0500
6,لکی مروت:محکمہ تعلیم نے متوفی ملازمین کوٹے کے تحت جونیئر کلرک آسامیوں پر بھرتی کے لئے امیدواروں کی سینارٹی و میرٹ لسٹ آویزاں کردی,['تعلیم'],2021-03-12T23:23:53+0500
7,ضلعی انتظامیہ نے لکی مروت، نورنگ، غزنی خیل تحصیلوں اور بیٹنی ٹرائبل سب ڈویژن میں گورنمنٹ سبسڈائزڈ آٹے کی تقسیم کے لئے نیا طریقہ کار وضع کردیا,"['جیل', 'کار']",2021-03-12T23:23:53+0500
8,موجودہ صوبائی حکومت صوبے میں لوگوں کو روزگار کے مواقع فراہم کرنے کیلئے عملی اقدامات کر رہی ہے : صوبائی وزیر داخلہ,['بلوچستان'],2021-03-12T23:23:52+0500
9,سینیٹ الیکشن میں فتح، اعلیٰ سعودی شخصیت کی جانب سے صادق سنجرانی اور مرزا آفریدی کیلئے مبارکباد کا پیغام,"['الیکشن', 'پاکستان', 'سعودی', 'ووٹ', 'ٹوئٹر', 'یوسف رضا گیلانی', 'عام انتخابات 2018', 'صادق سنجرانی ', 'سینیٹ']",2021-03-12T23:16:22+0500
10,ایڈوانس ٹریننگ اینڈ کوچنگ ٹیبل ٹینس کیمپ15 مارچ سے پشاورمیں شروع ہوگا، کفایت الله,"['ٹینس', 'پاکستان']",2021-03-12T23:11:20+0500
11,یوم پاکستان این سی ایس گرلز رسہ کشی مقابلے اختتام پذیر,"['یوم پاکستان', 'پاکستان', 'پشاور']",2021-03-12T23:11:20+0500
12,انٹر سکولز سکریبل چیمپئن شپ 9 اپریل سے شروع ہوگی ,"['خیبرپختونخوا', 'تعلیم', 'حبیب اللہ خان', 'ڈاکٹر', 'پاکستان', 'اسفندیارولی خان', 'پشاور']",2021-03-12T23:11:20+0500
