,headlines,categories
21,حلیم عادل شیخ کی جانب سے صحافیوں پر بے بنیاد الزامات کی شدید مذمت کرتے ہیں ، کے یوجے دستور,"['کراچی', 'اسمبلی', 'احتجاج', 'پاکستان تحریک انصاف']"
22,حیدرآباد میں صحت وصفائی کی صورتحال دن بدن ابتر ہوتی جارہی ہے، عمران قریشی ,"['پاکستان تحریک انصاف', 'کرپشن', 'بلدیاتی انتخابات', 'پانی']"
23,سندھ اسٹوڈنٹس کونسل کی طرف سے حیدرآباد پریس کلب پر جاری 100 گھنٹے کی بھوک ہڑتال جاری ,['سندھ']
24,مورو کی دوشیزہ شہدادپور کے شہزادے سے ساتھ ٹنڈوالہیار کی مقامی عدالت میں پیش ہو کر شادی کے بند ھن میں بند گئے,"['عدالت', 'شادی', 'سندھ', 'اغوا', 'قتل']"
25,تعلیمی بورڈ حیدرآباد نے سال دوہزار بیس کے امتحانات میں فارم جمع نہ کرانے والے امیدواروں کو جرمانے کے ساتھ فارم جمع کرانے کی سہولت دیدی ,"['تعلیم', 'غریب']"
26,محکمہ آبپاشی کی زمینوں سے تجاوزات کے خاتمے کے لیے ہر ممکن کوششیں کی جارہی ہیں، کمشنر حیدرآباد ,['مری']
27,بلدیہ شرقی میں کوئی افسر بے قابو نہیں ہر افسر اپنے قانونی دائرہ کار میں رہتے ہوئے فرائض سر انجام دے رہا ہے، میونسپل کمشنر ایسٹ ,"['کراچی', 'کار', 'بلدیاتی انتخابات', 'پاکستان سپر لیگ']"
28,تحریک لبیک پاکستان کا جنرل اور خواتین نشستوں پر اپنے ووٹ ضائع کرنے کا اعلان، امیر تحریک لبیک سندھ ,"['ایم کے', 'اسمبلی', 'عام انتخابات 2018', 'ہوٹل', 'کھیل', 'پاکستان', 'افغانستان', 'بلوچستان', 'مولانا خادم حسین رضوی', 'ووٹ', 'کراچی', 'متحدہ قومی موومنٹ', 'میاں نواز شریف', 'زخمی', 'پارلیمنٹ', 'قرارداد', 'لاہور', 'کاروبار', 'دنیا', 'سندھ', 'آصف علی زرداری', 'بجلی']"
29,کمشنر کراچی نوید شیخ کی زیر صدارت جائزہ اجلاس ,"['کے الیکٹرک', 'پولیس', 'سندھ', 'بنک', 'کراچی', 'سوئی گیس', 'ٹریفک']"
30,سینیٹ انتخابات کا میدان (کل) سجے گا،سندھ اسمبلی میں سینیٹ کی 11 نشستوں پر پولنگ کیلئے تمام انتظامات مکمل ,"['الیکشن', 'سینیٹ', 'ووٹ', 'سندھ', 'موبائل', 'اسمبلی', 'الیکشن کمیشن', 'صوبائی اسمبلی', 'عام انتخابات 2018', 'پاکستان']"
31,سندھ اسمبلی میں سینیٹ انتخابات کے لیے سیکورٹی کے غیرمعمولی انتظامات کیے گئے,"['الیکشن', 'سینیٹ', 'ووٹ', 'سندھ', 'موبائل', 'اسمبلی', 'الیکشن کمیشن', 'صوبائی اسمبلی', 'جرمانہ', 'عام انتخابات 2018']"
32,سندھ اسمبلی کے 168 ارکان (کل)سینیٹ کی 11 نشستوں پر انتخاب کے لیے اپنا حق رائے دہی استعمال کریں گے,"['الیکشن', 'سینیٹ', 'پیپلز پارٹی', 'ایم کے', 'ڈاکٹر', 'سندھ', 'فیصل واوڈا', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'متحدہ مجلس عمل', 'پاکستان تحریک انصاف', 'پاکستان', 'متحدہ قومی موومنٹ']"
33,سندھ اسمبلی اجلاس کے بعد پاکستان تحریک انصاف کے رہنمائوں اور صحافیوں کے مابین تکرارہوگئی ,"['پیپلز پارٹی', 'احتجاج', 'سوشل میڈیا', 'سندھ', 'اسمبلی', 'پاکستان تحریک انصاف', 'کراچی', 'پاکستان']"
34,مجھے پیپلز پارٹی والوں نے یرغمال بنایا ہوا تھا اور مجھ پر ظلم ہوا ہے، کریم بخش گبول ,"['سینیٹ', 'پیپلز پارٹی', 'ووٹ', 'سندھ', 'اسمبلی', 'عام انتخابات 2018', 'گاڑی', 'پاکستان تحریک انصاف', 'پاکستان']"
35,قاضی برادران نے اسری یونیورسٹی ہسپتال حیدرآباد کے ہزاروں ملازمین کی تنخوائیں روک لی ,"['گورنر', 'اسلام آباد', 'احتجاج', 'سندھ', 'غریب', 'چیف جسٹس', 'وزیراعظم', 'کراچی', 'پاکستان']"
36,محکمہ اطلاعات سندھ کے افسران و عملہ مزید محنت اور جانفشانی سے اپنے فرائض ادا کریں،سیکریٹریٹ اطلاعات ,"['کراچی', 'سندھ']"
37,سینیٹ الیکشن سے چند گھنٹوں قبل ایک کے بعد ایک ویڈیو لیک ہونے لگی,"['قومی اسمبلی', 'ایم کے', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'اسلام آباد', 'پاکستان', 'علی حیدر گیلانی', 'سینیٹ', 'نجی ٹی وی چینل', 'ووٹ', 'وزیر اطلاعات', 'فواد چوہدری', 'الیکشن', 'پیپلز پارٹی', 'یوسف رضا گیلانی', 'کار', 'سندھ']"
38,انسانیت سے محبت کرنے والی عافیہ علم اور امن کی سفیرہی: ڈاکٹر فوزیہ صدیقی,"['زخمی', 'پانی', 'ڈاکٹر', 'امریکہ', 'سماعت', 'علاج', 'تعلیم', 'جیل', 'طوفان', 'بجلی', 'کراچی', 'عافیہ صدیقی']"
39,صوبائی بینوولیٹ فنڈ بورڈ کا اجلاس ,"['نادرا', 'سندھ']"
40,ویلیوایڈڈ ٹیکسٹائل ایکسپورٹرز کی کاٹن یارن کی عدم دستیابی پرصنعتوں کی بندش کی پیشگوئی ,"['کار', 'بنگلہ دیش', 'دنیا', 'احتجاج', 'قلت', 'ملتان', 'لاہور', 'ریاض', 'پاکستان']"
41,فروری کے مہینے میں سیمنٹ کی مقامی فروخت میں معمولی اضافہ ، ایکسپورٹ میں کمی کا سامنا ,"['ریکارڈ', 'بجلی', 'پاکستان']"
42,نازوجناح پلازہ کے انتخابات میں اسمال ٹریڈرز کامیاب,"['کراچی', 'عام انتخابات 2018', 'ووٹ', 'محمد علی جناح']"
43,کم قیمت گائے کے خالص دودھ کی قیمتوں کا اعلان,['پاکستان']
44,نواحی علاقہ پڈعیدن میں آٹھ سالہ بچے سے مبینہ جنسی زیادتی کا الزام,"['احتجاج', 'تھانہ', 'پولیس', 'غریب']"
45,فلورملزکو معیاری آٹے کی فراہمی کا پابند بنایا گیا ,['کار']
46,سندھ اسمبلی واقعہ: حلیم عادل شیخ نے صحافیوں سے معافی مانگ لی,"['سوشل میڈیا', 'سندھ', 'اسمبلی', 'پاکستان تحریک انصاف', 'کراچی', 'پاکستان']"
47,بِکنے کا اندیشہ، پی ٹی آئی ارکان اسمبلی ایک ہوٹل سے دوسرے میں منتقل,"['سینیٹ', 'ووٹ', 'اسمبلی', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'ہوٹل', 'کراچی', 'پاکستان', 'متحدہ قومی موومنٹ']"
48,سندھ اسمبلی میں پی ٹی آئی ارکان کی پٹائی، پیپلز پارٹی کا ردِ عمل,"['میرا', 'زخمی', 'ووٹ', 'سندھ', 'اسمبلی', 'اغوا', 'گاڑی', 'پاکستان تحریک انصاف', 'وزیر اطلاعات']"
49,الیکشن کمیشن کی جانب سے سینیٹ انتخابات میں کرپشن روکنے کے لئے بنائی گئی ویجی لینس کمیٹی نے اپنا کام شروع کردیا ,"['گورنر', 'نقصان', 'الیکشن', 'سینیٹ', 'ایف بی آر', 'ریکارڈ', 'کرپشن', 'لیاقت علی جتوئی', 'سندھ', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'کراچی', 'پاکستان']"
50,نشترپارک میں ہونے والی جاں نثاران مصطفی کانفرنس مظلوم عوام کی آواز بنے گی ، ثروت اعجاز قادری,"['مہنگائی', 'پانی', 'جمہوریت', 'کراچی', 'پاکستان']"
51,جماعت اسلامی سندھ کے رہنما کی کراچی پریس کلب میں اساتذہ کے حتجاجی دھرنے میں شرکت،IBAٹیسٹ پاس ہیڈماسٹرزکو کنفرم کرنے کا مطالبہ,"['جماعت اسلامی', 'احتجاج', 'سندھ', 'تعلیم', 'کراچی']"
52,لیاقت بلوچ 6 مارچ کو سکھر پہنچیں گے,"['پاکستان', 'لیاقت بلوچ']"
53,میونسپل کمشنربلدیہ وسطی نے مارچ 2021ء سے تنخواہ میں 15 فیصد اضافے کا مراسلہ جار ی کر دیا ,"['بلدیاتی انتخابات', 'ڈاکٹر', 'سندھ']"
54,روزی گوٹھ میں لینڈمافیا کے خلاف عوام سڑکوں پر نکل آئی,"['احتجاج', 'پولیس', 'غریب']"
55,قبائلی اضلاع میں امن لوٹ آیا، دشمن کی سازشوں سے چوکنا رہنا ہوگا، آرمی چیف,"['کار', 'جنوبی وزیرستان', 'ایف سی', 'جنرل قمر جاوید باجوہ', 'آئی ایس پی آر', 'فوج', 'پاکستان']"
56,الیکشن کمیشن کی فواد چوہدری کی جانب سے الیکشن کمیشن میں کسی افسر کے موجود نہ ہونے سے متعلق بیان کی تردید ,"['الیکشن', 'سینیٹ', 'الیکشن کمیشن', 'عام انتخابات 2018', 'فواد چوہدری']"
57,قطر کے سفیر کی زبیدہ جلال سے ملاقات ,"['قطر', 'پاکستان']"
58,پرچی چیئرمین کیلئے ڈوب مرنے کیلئے بہت سی وجوہات ہیں مگر شرم کی عدم موجودگی میں یہ ممکن نہیں، مراد سعید ,"['پیپلز پارٹی', 'عدالت', 'کرپشن', 'بلاول بھٹو زرداری', 'آصف علی زرداری', 'یوسف رضا گیلانی', 'پاکستان تحریک انصاف', 'سیلاب', 'پاکستان']"
59,استنبول تہران اسلام آباد،فریٹ ٹرین کی بحالی کی حتمی تاریخ طے نہ ہوسکی ,"['کراچی', 'ریلوے']"
