,headlines,categories,time
0,پیٹرولیم مصنوعات کی قیمتوں میں کمی کا امکان، سمری حکومت کو ارسال ,"['پیٹرول', 'سوئی گیس']",2021-03-30T23:19:50+0500
1,پنجاب حکومت نے سرکاری ملازمین کی تنخواہوں اور الائونسز کے فرق کا جائزہ لینے کیلئے وزراء پر مشتمل کمیٹی تشکیل دیدی ,"['وزیر اعلیٰ', 'پنجاب', 'بجٹ']",2021-03-30T23:19:50+0500
2,پنجاب اسمبلی میں سات نشستوں والی پیپلز پارٹی کا عدم اعتماد کی بات کرنا شرمناک ہے‘فردوس عاشق,"['پنجاب اسمبلی', 'نقصان', 'پنجاب', 'عثمان بزدار', 'کرونا وائرس', 'ایم کے', 'پولیس', 'سڑک', 'بجٹ', 'ڈاکٹر', 'پنجاب صوبائی بجٹ 2020-21ء', 'اسمبلی', 'دنیا', 'پیپلز پارٹی', 'فردوس عاشق اعوان']",2021-03-30T23:19:50+0500
3,پنجاب حکومت نے متعدد افسران کے تقرر و تبادلے کے احکامات جاری کر دئیے ,"['امریکہ', 'پنجاب']",2021-03-30T23:19:50+0500
4,مہنگے فوٹو گرافرز پنجاب ریو نیو اتھارٹی کے ریڈار پر آ گئے ,['پنجاب'],2021-03-30T23:19:50+0500
5,حلیم عادل شیخ 31 مارچ سے یکم اپریل تک مختلف اضلاع کا دورہ کرینگے,"['تعلیم', 'سندھ', 'پولیس', 'پانی', 'کراچی', 'اسمبلی', 'چور']",2021-03-30T23:19:50+0500
6,اسپین کے اعزازی قونصل جنرل کی سندھ وزیر ثقافت سید سردار علی شاہ سے ملاقات ,"['موسیقی', 'پاکستان', 'سندھ']",2021-03-30T23:19:50+0500
7,ہری رام کشوری لال کی زیر صدارت محکمہ اقلیتی امور کی نان مسلم ویلفیئر کمیٹی کا اجلاس ,"['سندھ', 'ریکارڈ', 'آصف علی زرداری', 'شادی', 'غریب', 'ڈاکٹر', 'اسمبلی', 'پیپلز پارٹی', 'بلاول بھٹو زرداری']",2021-03-30T23:19:50+0500
8,سندھ مدرستہ الاسلام یونیورسٹی اور دائود انجینئرنگ یونیورسٹی کے درمیان معاہدے پر دستخط,"['ٹیکنالوجی', 'ڈاکٹر', 'سندھ']",2021-03-30T23:19:50+0500
9,حیدر آباد: گیس لائن میں دھماکا،4 بچے جھلس گئے، حالت خطرے سے باہر,"['سوئی گیس', 'پولیس', 'زخمی']",2021-03-30T23:19:50+0500
10,ڈاکٹر حسین احمد پراچہ کی مولانا گلزار مظاہری مرحوم کی زندگانی پر لکھی گئی کتاب کی تقریب رونمائی ,"['لیاقت بلوچ', 'جمعیت', 'جیل', 'جماعت اسلامی', 'ڈاکٹر', 'سراج الحق', 'پاکستان']",2021-03-30T23:17:52+0500
11,عمران خان کا بھارتی وزیراعظم کو جوابی خط ،کشمیر سمیت تمام تصفیہ طلب تنازعات کے حل پر زور دیا,"['بھارت', 'کرونا وائرس', 'یوم پاکستان', 'مذاکرات', 'وزیراعظم', 'نریندرا مودی', 'مقبوضہ کشمیر', 'پاکستان', 'مسئلہ کشمیر']",2021-03-30T23:17:52+0500
12,وزیر خارجہ شاہ محمود کی افغان صدر اشرف غنی سے ملاقات، دونوں ممالک کے تعلقات اور افغان امن عمل پر گفتگو ,"['فوج', 'شاہ محمود قریشی', 'وزیراعظم', 'پاکستان', 'افغانستان']",2021-03-30T23:17:52+0500
13,و زیر خزانہ حماد اظہر کی زیر صدارت کابینہ کی اقتصادی رابطہ کمیٹی کااجلاس (کل)ہوگا ,"['بھارت', 'وزیراعظم', 'تعلیم']",2021-03-30T23:17:52+0500
14,وزرا ء خاص طورپر حفیظ شیخ اور ندیم بابر کا نام ای سی ایل میں شامل کیا جائے، مریم اور نگزیب ,"['کرپشن', 'جہانگیر خان ترین', 'مریم اورنگزیب', 'مہنگائی', 'حفیظ شیخ', 'جیل', 'پاکستان', 'مسلم لیگ (ن)']",2021-03-30T23:17:52+0500
15,وفاقی حکومت نے 500 ارب روپے سالانہ خسارے کے دو، چار سرکاری اداروں اور کمپنیوں کافورنزک آڈٹ کر انے کا فیصلہ کرلیا ,"['کمپنی', 'نقصان', 'ریلوے', 'وزیراعظم', 'پشاور', 'لاہور', 'پاکستان', 'کوئٹہ']",2021-03-30T23:17:52+0500
16,میری زمین، میری گاڑی اور میرا بیٹا ہے، میں نے کوئی خلاف ورزی نہیں کی، علی امین گنڈا پور کا گاڑی چلانے سے متعلق ویڈیو پر جواب ,"['ٹریفک', 'گاڑی', 'سڑک', 'سوشل میڈیا', 'میرا', 'موٹروے']",2021-03-30T23:17:52+0500
17,پی ڈی ایم قائم و دائم ہے، ن لیگ اسے لیڈ کر رہی ہے، امیر مقام,"['پیپلز پارٹی', 'امیر مقام', 'عام انتخابات 2018', 'حفیظ شیخ', 'کراچی', 'یوسف رضا گیلانی', 'پاکستان', 'مسلم لیگ (ن)', 'این اے249']",2021-03-30T23:17:52+0500
18,وزیراعظم عمران خان نے قومی رابطہ کمیٹی برائے کورونا کا اہم اجلاس طلب کرلیا ,"['کرونا وائرس', 'الیکشن', 'وزیراعظم', 'عام انتخابات 2018', 'سینیٹ']",2021-03-30T23:17:52+0500
19,میگا کرپشن مقدمات کو منطقی انجام تک پہنچانا نیب کی اولین ترجیح ہے، جسٹس (ر ) جاوید اقبال,"['کرپشن', 'محمد علی جناح', 'اقوام متحدہ', 'آٹا', 'اسمبلی', 'سماعت', 'پاکستان']",2021-03-30T23:17:52+0500
20,کوئٹہ،قومی اداروں کو تباہ و برباد کرنے والوں ، بدعنوانی ، بدانتظامی ، اقر باپروری اور نا اہلی و غبن کا ارتکاب کرنے والوں کو پکڑا جائے ،لیاقت بلوچ ,"['کرپشن', 'تعلیم', 'لیاقت بلوچ', 'جلسہ', 'ایم کے', 'چولہے', 'جماعت اسلامی', 'کراچی', 'کوئٹہ', 'بلوچستان']",2021-03-30T23:15:03+0500
21,کوئٹہ،وزیراعظم نے ایک کروڑ نوکریوں کا وعدہ کر کے لاکھوں افراد بے روزگار کرد یئے، مولانا عبد الحق ہاشمی ,"['تعلیم', 'وزیراعظم', 'واپڈا', 'مہنگائی', 'گورنر', 'غریب', 'جماعت اسلامی', 'بنک', 'بلوچستان']",2021-03-30T23:15:03+0500
22,انجمن تاجران نوشکی کے نومنتخب کابینہ کی تقریب حلف برداری کا انعقاد,"['افغانستان', 'پولیس', 'مہنگائی', 'ایران', 'غریب', 'ایف سی', 'صوبائی اسمبلی', 'اسمبلی', 'بلوچستان']",2021-03-30T23:15:03+0500
23,سی ڈی اے سینٹرل ڈویلپمنٹ ورکنگ پارٹی نے فراش ٹاون میںکچی آبادی کیلئے کم آمدن والے رہائشی اپارٹمنٹ منصوبہ کی ڈویلپمنٹ کی منظوری دیدی ,"['ٹریفک', 'نیا پاکستان', 'مری', 'سی ڈی اے', 'پاکستان', 'مسئلہ کشمیر']",2021-03-30T23:15:03+0500
24,عالمی سطح پر قرضوں کے ڈھانچے پر دوبارہ نظر ثانی کی جائے، منیر اکرم,"['کرونا وائرس', 'افریقہ', 'اقوام متحدہ', 'ڈالر', 'پاکستان']",2021-03-30T23:15:03+0500
25,شادیوں پرپابندی بدترین اقدام ہے : محمدناصراقبال خان,"['کرونا وائرس', 'پاکستان', 'شادی']",2021-03-30T23:15:03+0500
26,گورنر سٹیٹ بنک کو عہدے سے ہٹایا جائے ، سراج الحق کا حکومت سے مطالبہ,"['لیاقت بلوچ', 'گورنر', 'مقبوضہ کشمیر', 'استثنیٰ', 'بنک', 'مصر', 'آئی ایم ایف', 'کمپنی', 'ایٹمی', 'جماعت اسلامی', 'عدالت', 'سراج الحق', 'چین', 'پاکستان', 'مسئلہ کشمیر', 'بھارت', 'وزیراعظم', 'حفیظ شیخ', 'پارلیمنٹ', 'پاکستان تحریک انصاف', 'بنگلہ دیش', 'نریندرا مودی', 'مہنگائی', 'ڈاکٹر']",2021-03-30T23:15:03+0500
27,سرکاری ملازمین کی تنخواہوں میں مہنگائی کی شرح کے تناسب سے اضافہ کیا جائے ، لیاقت بلوچ ,"['لیاقت بلوچ', 'مقبوضہ کشمیر', 'جلسہ', 'سی پیک', 'اقوام متحدہ', 'جماعت اسلامی', 'سراج الحق', 'پاکستان', 'مسئلہ کشمیر', 'کوئٹہ', 'لاپتہ افراد', 'عام انتخابات 2018', 'لاہور', 'کراچی', 'جمہوریت', 'نریندرا مودی', 'مہنگائی', 'قتل', 'بلوچستان']",2021-03-30T23:15:03+0500
28,ڈائریکٹر پی اینڈ ڈی محمد تنویر کو ڈی ایم ڈی ایف اینڈ آر واسا تعینات کر دیا گیا,[],2021-03-30T23:15:03+0500
29,راجہ یاسر ہمایوں کاویکسینیشن مرکز ایکسپو سینٹر، جناح ہسپتال اور تھانہ شادمان کا اچانک دورہ,"['عثمان بزدار', 'کرپشن', 'پنجاب', 'کرونا وائرس', 'کار', 'پاکستان تحریک انصاف', 'محمد علی جناح', 'علاج', 'حکومت پنجاب', 'وزیراعلیٰ پنجاب', 'لاہور', 'تھانہ']",2021-03-30T23:15:03+0500
30,فیصل آباد، آپریشن تھیٹر ٹیکنیشن وارڈ میں مریض کی عیادت کیلئے کیوں گیا چلڈرن ہسپتال کے سینیئر ڈاکٹر نے گارڈز کو بلا کر وارڈ سے نکال دیا,"['نامعلوم افراد', 'کار', 'پولیس', 'ڈاکٹر', 'تھانہ']",2021-03-30T23:12:37+0500
31,ڈپٹی کمشنر اٹک نے ضلع کونسل و بلدیہ اٹک کے دونوں گیٹ پر تالے لگوادئیے ,"['توہین عدالت', 'پنجاب', 'جرمانہ', 'سپریم کورٹ', 'کرونا وائرس', 'کار', 'پاکستان تحریک انصاف', 'پانی', 'بلدیاتی انتخابات', 'چیف جسٹس', 'ڈاکٹر', 'عدالت', 'مریم نواز شریف', 'پاکستان']",2021-03-30T23:12:37+0500
32,بلدیہ اٹک کے گیٹ پر لگے تالے توڑنے پر چیئرمین بلدیہ ناصر محمود شیخ ، سابق چیئرمین شیخ شاہد محمود شاہدی سمیت 9 افراد نامزد، مقدمہ درج,"['حیدر عباس رضوی', 'پولیس']",2021-03-30T23:12:37+0500
33,اٹک، زیر حراست ملزم کے جاں بحق ہونے پر ایس ایچ او سمیت 4 پولیس ملازمین کے خلاف مقدمہ قتل درج ,"['نامعلوم افراد', 'گاڑی', 'پولیس', 'سید علی شاہ گیلانی', 'قتل', 'تھانہ', 'جاں بحق']",2021-03-30T23:12:37+0500
34,اٹک، رشتہ کے تنازعہ پر 2 سگے بھائیوں نے بہنوئی کو قتل اور سگے بھائی کو زخمی کر دیا ، مقدمہ درج,"['دھمکی', 'زخمی', 'کار', 'پولیس', 'قتل', 'میرا', 'تھانہ', 'جاں بحق']",2021-03-30T23:12:37+0500
35,اٹک، تیز رفتار کار الٹ گئی ،خاتون جاں بحق ، 3 بچوں سمیت 7 افراد شدید زخمی,"['زخمی', 'کار', 'ڈرائیور', 'پولیس', 'جی ٹی روڈ', 'حادثہ', 'تھانہ', 'جاں بحق']",2021-03-30T23:12:37+0500
36,ضلع اٹک میں کرونا وائرس کے مثبت کیسز کی تعداد 1606 ہو گئی,"['کرونا وائرس', 'علاج']",2021-03-30T23:12:37+0500
37,آرمی چیف کا راولپنڈی میں لاجسٹک انسٹالیشن کادورہ،مختلف جاری ترقیاتی اورتعمیراتی منصوبوں پربریفنگ دی گئی ،آئی ایس پی آ ر ,"['کار', 'آرمی چیف', 'آئی ایس پی آر']",2021-03-30T23:12:37+0500
38,آرمی چیف سے یورپی یونین سفیر ،کینیڈین ہائی کمشنر اور ڈنمارک کی سفیر کی ملاقات,"['کینیڈا', 'آرمی چیف', 'آئی ایس پی آر', 'جنرل قمر جاوید باجوہ', 'یورپی یونین', 'پاکستان', 'افغانستان']",2021-03-30T23:12:37+0500
39,کوئٹہ ، ڈاکٹر عبدالمالک بلوچ کا بلوچستان کے ملازمین کے احتجاج کی حمایت کا اعلان,"['پی آئی اے', 'احتجاج', 'مہنگائی', 'ڈاکٹر', 'بلوچستان', 'ڈاکٹر عبدالمالک بلوچ']",2021-03-30T23:12:37+0500
40,بیلہ ، ملازمین صوبے کے امور کو چلانے میں بنیادی کردار ادا کررہے ہیں انکے جائز مسائل کو حل کرنے کیلئے حکومت سنجیدگی دکھائے ،عبدالشکور مری,"['احتجاج', 'مری', 'مہنگائی', 'سڑک', 'مسلم لیگ (ق)', 'پاکستان', 'کوئٹہ', 'بلوچستان']",2021-03-30T23:08:52+0500
41,ایسوسی ایٹ ڈگری پروگرام کیخلاف بننے والی جوائنٹ ایکشن کمیٹی کا وفدیکم اپریل کووائس چانسلر جامعہ کراچی سے ملا قا ت کرے گا,"['ریاض', 'ڈاکٹر', 'کراچی']",2021-03-30T23:08:52+0500
