,headlines,categories,time
0,کراچی میں افسوسناک واقعہ، ٹریفک حادثات کے نتیجے میں باپ اور بیٹی سمیت 3 افراد جا ں بحق,"['کراچی', 'حادثہ', 'جاں بحق', 'ٹریفک', 'ڈرائیور', 'محمد علی جناح', 'پولیس', 'ٹریفک حادثہ', 'زخمی']",2021-03-07T22:33:23+0500
1,موجودہ دور حکومت میں محکمہ ریلوے کا 2 سال چھے ماہ اور 12 دن کا دورانیہ,"['ریکارڈ', 'جاں بحق', 'ریلوے', 'زخمی', 'نقصان']",2021-03-07T22:10:13+0500
2,راولپنڈی پولیس کے انسپکٹر عمران عباس شرپسند عناصر کی فائرنگ سے شہید ہوگئے,"['تھانہ', 'شہید', 'فائرنگ', 'پولیس']",2021-03-07T22:10:13+0500
3,موجودہ حکومت کی دلیل کی بات ختم ہو گئی اور اب گالم گلوچ شروع ہو گئی ہے،سراج الحق,"['پانی', 'مہنگائی', 'اسمبلی', 'جماعت اسلامی', 'حفیظ شیخ', 'سراج الحق']",2021-03-07T22:10:12+0500
4,شمالی وجنوبی وزیرستان میں فورسز کے آپریشن، 4 دہشت گرد ہلاک,"['آئی ایس پی آر', 'شمالی وزیرستان', 'فوج', 'جنوبی وزیرستان', 'ہلاک', 'دہشت گرد']",2021-03-07T22:10:12+0500
5,شہید انسپکٹر عمران عباس انتہائی فرض شناس آفیسر تھے اوران کی خدمات کو ہمیشہ یاد رکھا جائے گا ‘راجہ بشارت ,"['شہید', 'فائرنگ', 'پولیس', 'پنجاب', 'تھانہ', 'وزیر قانون']",2021-03-07T22:10:12+0500
6,دجالی نظام کا وار خاندان کے نظام پر ھے،پاکستان کی عورت نے اس خاندانی نظام کو سنبھالا ھوا ہے،،سینیٹر سراج الحق,"['عام انتخابات 2018', 'دنیا', 'طلاق', 'کار', 'پنجاب', 'پاکستان', 'جماعت اسلامی', 'سراج الحق']",2021-03-07T22:10:11+0500
7,خاندان وہ ادارہ ہے جو معاشرے کی ترقی یا تنزلی کا ذمہ دار ہے،ثمینہ احسان,"['عام انتخابات 2018', 'طلاق', 'پاکستان', 'جماعت اسلامی', 'پنجاب', 'گرمی']",2021-03-07T22:10:11+0500
8,کھلاڑی ملکی سفیر ہوتے ہیں‘ کھیل معیشت اورر زرمبادلہ میں اضافہ کا باعث ہوتے ہیں‘ ڈاکٹر عارف علوی ,"['لاہور', 'کھیل', 'ڈاکٹر', 'عارف علوی', 'پنجاب', 'پاکستان', 'محمد علی جناح', 'پولو', 'رینجرز', 'زرمبادلہ', 'صدر مملکت']",2021-03-07T22:10:10+0500
9,ٴْکراچی،سی ویو ساحل پرڈوب کر ایک شخص جا ں بحق،نیٹی جیٹی کے قریب سے ایک شخص کی لاش برآمد ,"['عبدالستار ایدھی', 'محمد علی جناح', 'ہوٹل', 'پولیس']",2021-03-07T22:10:09+0500
10,چ*کراچی، ٹریفک حادثات کے نتیجے میں باپ اور بیٹی سمیت 3 افراد جا ںبحق ,"['حادثہ', 'جاں بحق', 'ٹریفک', 'ڈرائیور', 'محمد علی جناح', 'پولیس', 'ٹریفک حادثہ', 'زخمی']",2021-03-07T22:10:08+0500
11,غ*کراچی، ڈکیتی مزاحمت اور فائرنگ کے دیگر واقعات میں 2 بچوں سمیت 6 افراد زخمی ,"['شہید', 'فائرنگ', 'موبائل', 'محمد علی جناح', 'زخمی', 'پولیس', 'ڈکیتی', 'نامعلوم افراد']",2021-03-07T22:10:08+0500
12,ژ*کراچی،اسلامی تشخص کو مدارس دینیہ نے زندہ رکھا ہوا ہے، مولانا طلحہ رحمانی,"['دنیا', 'علما', 'پاکستان', 'مولانا فضل الرحمن', 'کراچی', 'کرونا وائرس', 'تعلیم']",2021-03-07T22:10:07+0500
13,ةکراچی،مغرب عورت کو شمع محفل جبکہ اسلام عورت کو گھر کی ملکہ کا درجہ دیتا ہے ،محمد حسین محنتی ,"['سندھ', 'قومی اسمبلی', 'بیوی', 'عام انتخابات 2018', 'دنیا', 'اسمبلی', 'طلاق', 'پاکستان', 'میرا', 'جماعت اسلامی', 'کراچی']",2021-03-07T22:10:07+0500
14,ج*کراچی ، پی ایس پی کا نظریہ قوم کو جوڑنے کا نظریہِ ہے، سیدمصطفی کمال,"['پاک سرزمین پارٹی', 'پاکستان', 'مسئلہ کشمیر', 'سید مصطفی کمال']",2021-03-07T22:10:06+0500
15,کراچی،اہلسنّت والجماعت کے زیراہتمام ملک بھرمیںیوم سیدنا امیرمعاویہؓانتہائی عقیدت واحترام سے منایاگیا,"['دنیا', 'پنجاب', 'پاکستان', 'کراچی']",2021-03-07T22:10:06+0500
16,ں*چیف سیکرٹری بلوچستان مطہر نیاز رانا کا کچی کینال کا دورہ،تفصیلی بریفنگ دی گئی ,"['کار', 'پولیس', 'بلوچستان']",2021-03-07T22:10:05+0500
17,، 2018ء سے قائد مولانا فضل الرحمان نے جو تحریک شروع کی ہے اس نے جماعت کو بام عروج پر پہنچایا ہے،مولانا عبد الرحمان رفیق ,"['جمعیت', 'دنیا', 'علما', 'پاکستان', 'مولانا فضل الرحمن', 'کوئٹہ']",2021-03-07T22:10:05+0500
18,ذ*عالمی وبا کرونا میں عورتیں صحت کے شعبے میں فرنٹ لائن پر رہیں،جام کمال,"['دنیا', 'اقوام متحدہ', 'کرونا وائرس', 'بلوچستان']",2021-03-07T22:10:04+0500
19,عالمی طاقتیں پاکستان کو داخلی مسائل میں الجھا کر ملک کوترقی اور معیشت کی استحکام سے محروم کرنا چاہتی ہیں،جمعیت علماء اسلام نظریاتی بلوچستان,"['جمعیت', 'غریب', 'آئی ایم ایف', 'مہنگائی', 'آٹا', 'پاکستان', 'چور', 'بلوچستان']",2021-03-07T22:10:04+0500
20,(اپ ڈیٹ ) ,"['ایم کے', 'سی پیک', 'عام انتخابات 2018', 'نیپرا', 'ووٹ', 'براڈ شیٹ', 'میٹرو بس', 'پاکستان', 'لانگ مارچ', 'سینیٹ', 'کرونا وائرس', 'وزیراعظم', 'بنک', 'میٹرو']",2021-03-07T22:10:03+0500
21,وزیرستان میں سیکیورٹی فورسز کے آپریشن میں 4 دہشت گرد مارے گئے,"['آئی ایس پی آر', 'آئی ایس پی آر', 'فائرنگ', 'شمالی وزیرستان', 'فوج', 'جنوبی وزیرستان', 'ہلاک', 'دہشت گرد']",2021-03-07T22:05:32+0500
22,ٴکراچی ،اورنگی ٹائون نمبر چار میں پولیس اہلکاروں کی مبینہ سرپرستی میں ناجائز واٹر ہائیڈرنٹ قائم ,"['پانی', 'پولیس']",2021-03-07T21:35:04+0500
23,ط*پاکستان کوسٹ گارڈزاورگوادر پولیس کی مشترکہ کارروائی،4 منشیات اسمگلرز گرفتار,"['گوادر', 'پاکستان', 'منشیات', 'پولیس']",2021-03-07T21:35:04+0500
24,غ*کراچی ، مختلف حادثات و واقعات میں خاتون سمیت تین افراد جاںبحق ، دو شدید زخمی,"['شہید', 'جاں بحق', 'گاڑی', 'سڑک', 'ٹریفک', 'کار', 'پولیس', 'زخمی']",2021-03-07T21:35:03+0500
25,ج*کراچی ،احسن آباد میں نوجوان نے گلے میں پھندا لگا کر اپنی جان لے لی,"['شہید', 'پولیس']",2021-03-07T21:35:02+0500
26,چ* دنیا میں ہر سال 900 ملین ٹن سے زیادہ خوراک ضائع ہوتی ہے،اقوامِ متحدہ,"['غریب', 'چین', 'سوشل میڈیا', 'دنیا', 'کرونا وائرس', 'برطانیہ']",2021-03-07T21:15:14+0500
27,ذ*ڈپٹی کمشنر مردان حبیب اللہ عارف کا چھٹی کے روز مختلف علاقوں کا دورہ ,"['سوات', 'پیٹرول']",2021-03-07T21:15:13+0500
28,(سپورٹس نیوز ),"['لاہور', 'پاکستان', 'ریکارڈ', 'بارشیں']",2021-03-07T21:15:13+0500
