,headlines,categories
0,باڈر کی بندش سے بلوچستان کے لاکھوں تاجرروں اور عوام کے روزگار بند ہو گئے ہیں ،عبدالرحیم کاکڑ ,"['زخمی', 'کاروبار', 'نقصان', 'بلوچستان', 'ایران', 'تیل', 'فائرنگ']"
1,وزیر اعظم سے اراکین اسمبلی کی ملاقاتیں ، سینٹ انتخابات پر گفتگو ,"['قومی اسمبلی', 'پرویز خٹک', 'اسمبلی', 'اسد عمر']"
2,پاکستان زرعی تحقیقاتی کونسل کے ملازمین کی نمائندہ تنظیم ایپارک کی نومنتخب عہددران نے حلف اٹھا لیا,"['چین', 'امریکہ', 'تعلیم', 'دنیا', 'ریکارڈ', 'پاکستان', 'ڈاکٹر']"
3,شیخ رشید سے مصر کے سفیر کی ملاقات ,"['مصر', 'پاکستان', 'وزارت داخلہ', 'ڈاکٹر', 'موسم']"
4,مالی سال 22-2021 کیلئے واپڈا کے تمام منصوبے منظور، نولانگ ڈیم اور چراہ ڈیم کو بھی بجٹ میں شامل کر نے کی سفارش ,"['سندھ', 'ڈیم', 'پانی', 'پنجاب', 'نقصان', 'بھاشا ڈیم', 'بجٹ', 'واپڈا', 'بلوچستان', 'قومی اسمبلی', 'اسمبلی', 'لاہور', 'ڈاکٹر', 'پارلیمنٹ']"
5,جًلد پابندیاں اٹھانے سے پاکستان میں کووڈ کی تیسری لہر کا خدشہ,"['الیکشن', 'بلدیاتی انتخابات', 'الیکشن کمیشن', 'پاکستان سپر لیگ', 'عام انتخابات 2018', 'شادی', 'میرا', 'پاکستان', 'کار', 'دھمکی', 'بارشیں', 'ڈاکٹر', 'کرونا وائرس']"
6,کھانے پینے کی اشیاء کی قیمتوں میں اضافے کے باعث ملک میں مہنگائی چار ماہ کی بلند ترین سطح پر پہنچ گئی,"['مہنگائی', 'ٹماٹر', 'بجلی']"
7,فواد چوہدری کی سابق صدر پرویز مشرف کی صحتیابی کیلئے دعا,"['پرویز مشرف', 'ٹیکنالوجی', 'سوشل میڈیا', 'پاکستان', 'فواد چوہدری', 'دبئی']"
8,افغان فضائیہ کی بمباری میں 30 جنگجو ہلاک، چھ زخمی ,"['زخمی', 'نقصان', 'افغانستان', 'فوج', 'ہلاک', 'القاعدہ', 'طالبان']"
9,جاپانی وزیراعظم کے بیٹے کے مہنگے ڈنر میں شرکت پر حکومتی ترجمان مستعفی,"['علاج', 'ملازمت', 'وزیراعظم']"
10,سینیٹ انتخابات میں نشستیں برابری کی بنیاد پر تقسیم ہوں تو حکومت سے بات ہو سکتی ہے، مولانا عبدالغفور حیدری ,"['محمود خان اچکزئی', 'غریب', 'احتجاج', 'الیکشن', 'مہنگائی', 'پاکستان', 'ایم کے', 'عدالت', 'غوث بخش بزنجو', 'عام انتخابات 2018', 'جیل', 'پنجاب', 'دنیا', 'کوئٹہ', 'لانگ مارچ', 'اختر مینگل', 'ووٹ', 'الیکشن کمیشن', 'گاڑی', 'بلوچستان', 'قومی اسمبلی', 'سینیٹ', 'اسمبلی', 'لاپتہ افراد', 'جمعیت', 'پارلیمنٹ', 'مولانا فضل الرحمن']"
11,وزیراعظم عمران خان سے رکن قومی اسمبلی محمد اسلم خان بھوتانی کی ملاقات ,"['قومی اسمبلی', 'اسمبلی', 'عام انتخابات 2018', 'وزیراعظم']"
12,وزیراعلیٰ بلوچستان جام کمال اور چیئرمین سینیٹ محمد صادق سنجرانی کاوزیر اعلی سیکرٹریٹ میں چیف منسٹر ڈیلیوری یونٹ کا دورہ,"['سینیٹ', 'ٹیکنالوجی', 'بلوچستان']"
13,بلوچ کلچر ڈے کے حوالے سے پورے بلوچستان کو مبارکباد پیش کرتی ہوں ہماری ثقافت ہماری روایتوں کاامین ہے ،بشریٰ رند ,['بلوچستان']
14,سید زاہد شاہ نے بطور ڈپٹی کمشنر سبی اپنے منصب کا چارج سنبھال لیا ,[]
15,صحت مند زندگی گزارنے کے لئے ملاوٹ سے پاک و معیاری خوراک کا استعمال نہایت ضروری ہے ،صوبائی سیکرٹری خوراک ,"['یورپی یونین', 'کاروبار', 'بلوچستان', 'موبائل', 'پاکستان', 'اسمبلی', 'کار', 'صوبائی اسمبلی', 'ڈاکٹر']"
16,سیکرٹری مائنز اینڈ منرلز، محکمہ خزانہ اور مالیات کے ساتھ مل کر سیندک پروجیکٹ سے ملنے والی رائلٹی کے بارے میں آگاہ کریں ،ثنا ء اللہ بلوچ,"['مری', 'بلوچستان', 'اسمبلی', 'عدالت', 'صوبائی اسمبلی', 'اصغر خان']"
17,بلوچستان میں موجود سرمایہ کاری کے بے شمار مواقع کو دنیا کے سامنے لانا ہمارا مشن ہے، فرمان زرکون ,"['ترکی', 'دنیا', 'بلوچستان']"
18,چیئرمین قیقان ادبی دیوان انور نسیم مینگل سمیت دیگر کا اظہار تعزیت,['شادی']
19,صدر پولیس وزیرآباد نے موٹر سائیکل چوروں کے فادی گینگ کر گرفتار کرلیا,"['پولیس', 'بجلی', 'تھانہ']"
20,حافظ آباد،ایمرجنسی ہیلپ لائن پکار 15 پر جھوٹی کال کرنے والے دو ملزمان گرفتار ،مقدمات درج ,"['پولیس', 'ڈکیتی', 'تھانہ']"
21,حافظ آباد، پولیس کا اشتہاری مجرمان کیخلاف کریک ڈائون، کیٹیگری اے کے 2 اشتہاری مجرمان سمیت 11 اشتہاری مجرمان گرفتار,"['پولیس', 'ڈاکٹر', 'تھانہ']"
22,دیہاتوں اوردوردرازکے علاقہ جات میں رہنے والے مکینوں تک انصاف کی فراہمی کا سفرجاری ہے،محمدعلی وسیم ,"['پولیس', 'پنجاب', 'سماعت']"
23,خانیوال،ڈپٹی کمشنر ظہیر عباس شیرازی کی آوارہ کتوں کی تلفی مہم میں تیزی لانے کی ہدایت,"['نقصان', 'تعلیم', 'کرونا وائرس']"
24,محکمہ سوشل سکیورٹی میں سرکاری پٹرول کے غلط استعمال پر افسران کا ایکشن، پروٹوکول ڈیوٹی کی نام پر سرکاری گاڑیوں کے بلاوجہ استعمال پر پابندی عائد ,"['پنجاب', 'حکومت پنجاب', 'گاڑی', 'گاڑیاں', 'پیٹرول', 'درآمد']"
25,رحیم یار خان،ڈپٹی کمشنر آفس سبزہ زار میں ریونیو عوامی خدمت سروسز فراہمی کے تحت سینکڑوں شہریوں کے مسائل موقع پر حل کئے گئے,"['عثمان بزدار', 'ڈاکٹر', 'پنجاب', 'ریکارڈ']"
26,یوم پاکستان بھرپور قومی جوش وجذبے کے ساتھ منایا جائے گا،ڈپٹی کمشنر علی شہزاد ,"['علامہ اقبال', 'محمد علی جناح', 'یوم پاکستان', 'پاکستان', 'کار']"
27,فیصل آباد،وزیر اعلی پنجاب کی ہدایت پر تحصیل تاندلیانوالہ میں ریونیو عوامی خدمت کچہری ،عوامی مسائل سنے گئے,"['عثمان بزدار', 'پنجاب']"
28,وزیرآباد،گورنمنٹ گرلز پرائمری سکول نمبر 4میں پانی کی موٹر چوری ہونے پر طالبعلم بچوں کو تین تین سو روپے جرمانہ ,"['گرمی', 'تعلیم', 'پانی', 'چور', 'قلت', 'غریب', 'جرمانہ', 'موسم']"
