,headlines,categories,time
20,سینیٹ الیکشن میں حکومت کے ساتھ ساتھ اپوزیشن کے متعدد اراکین اسمبلی کے بھی باغی ہونے کا انکشاف,"['وزیراعظم', 'الیکشن کمیشن', 'اسمبلی', 'پاکستان', 'یوسف رضا گیلانی', 'کھیل', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'سینیٹ', 'ووٹ', 'ایم کے', 'کار', 'الیکشن', 'حفیظ شیخ']",2021-03-09T23:10:19+0500
21,وزیراعلی پنجاب عثمان بزدار کو تبدیل کرنے کے حوالے سے فی الحال کوئی بات زیر غور نہیں ہے، عبدالغفور حیدری کو باضابطہ طور پر کوئی پیشکش نہیں کی، وفاقی وزیر اطلاعات و نشریات سینیٹر شبلی فراز,"['سماعت', 'الیکشن کمیشن', 'پاکستان', 'پنجاب', 'یوسف رضا گیلانی', 'نجی ٹی وی چینل', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'سینیٹ', 'ووٹ', 'کار', 'الیکشن', 'وزیر اطلاعات', 'عدالت', 'عثمان بزدار']",2021-03-09T22:59:45+0500
22,خواتین کے عالمی دن کی مناسبت سے لاہورپریس کلب میں خواتین جرنلسٹس کے اعزاز میں تقریب,"['وزیراعظم', 'فردوس عاشق اعوان', 'لاہور', 'پنجاب', 'جہاد', 'گاڑی', 'ڈاکٹر', 'کار', 'مولانا فضل الرحمن', 'دھرنا', 'اسلام آباد']",2021-03-09T22:51:33+0500
23,تحر یک انصاف ہر محاذ پر اپوزیشن کا مقابلے کر نے کے لیے تیار ہے، عائشہ خالد,"['ووٹ', 'احتجاج', 'لاہور']",2021-03-09T22:50:13+0500
24,سرکاری ملازمین کیلئے بڑی خوشخبری، تنخواہوں اور پنشن میں اضافے کے لئے سفارشات تیارکر لی گئیں,['بجٹ'],2021-03-09T22:39:10+0500
25,ترکی اب پاکستان کو جدید جنگی ہیلی کاپٹرز فروخت نہیں کر سکتا,"['کمپنی', 'پاکستان', 'امریکہ', 'طیب اردوان', 'روس', 'نیٹو', 'ترکی']",2021-03-09T22:37:36+0500
26,پیرس کے قریبی شہر ارجنٹائل میں پیر کی شام پندرہ سالہ دو بچوں نے چودہ سالہ پاکستانی بچی کو تشدد کے بعد دریا میں پھینک دیا، ڈوبنے سے بچی ہلاک ,"['پولیس', 'پاکستان', 'ہلاک', 'قتل']",2021-03-09T22:26:20+0500
27,حکومت بلوچستا ن بھر میں امن و امان کی صورتحال کو مزید بہتر بنانے کے لئے بھر پور توجہ دے رہی ہے،ایڈیشنل چیف سیکرٹری ہوم بلوچستان,"['ڈاکٹر', 'پولیس', 'امن و امان', 'بلوچستان']",2021-03-09T22:22:13+0500
28,سستا بازار میں سرکاری نرخ پر آٹے کی فراہمی کے ساتھ گھی او رچینی کی فراہمی کو بھی ممکن بنا رہے ہیں،ڈپٹی کمشنر مردان,"['فیس بک', 'جیل']",2021-03-09T22:22:13+0500
29,وزیراعلیٰ محمود خان کی تبدیلی کی خبروں میں کوئی صداقت نہیں، شوکت یوسفزئی,"['مریم نواز شریف', 'کرپشن', 'اسمبلی', 'آصف علی زرداری', 'دھرنا', 'عام انتخابات 2018', 'وزیر اعلیٰ', 'سینیٹ', 'ووٹ', 'الیکشن', 'خیبرپختونخوا', 'مولانا فضل الرحمن', 'بلاول بھٹو زرداری']",2021-03-09T22:22:13+0500
30,کریمہ بلوچ خواتین کا ایک دن تہوار کے طور پر منانے کی بجائے شہادت تک مسلسل جدوجہد کرتی رہیں،میر لشکری ن رئیسانی,['بلوچستان'],2021-03-09T22:22:13+0500
31,کوئٹہ، بلڈنگ کوڈ کے رولز کی خلاف ورزی پر کارروائی,"['میٹرو', 'محمد علی جناح', 'بلوچستان', 'درآمد']",2021-03-09T22:22:13+0500
32,آزاد سینیٹر شمیم آفریدی نے باضابطہ طور پر پیپلزپارٹی میں شمولیت اختیار کرلی,"['راجہ پرویز اشرف', 'پاکستان', 'آصف علی زرداری', 'یوسف رضا گیلانی', 'سردار محمد لطیف کھوسہ', 'سینیٹ', 'شیری رحمان', 'پیپلز پارٹی', 'بلاول بھٹو زرداری']",2021-03-09T22:22:13+0500
33,راولپنڈی اسلام آباد یونین آف جرنلسٹس کا غیر معمولی جنرل باڈی اجلاس,"['پاکستان', 'عام انتخابات 2018', 'قرارداد', 'الیکشن', 'کرونا وائرس']",2021-03-09T22:22:13+0500
34,سی ڈی اے انتظامیہ نے روزاینڈ جیسمین گارڈن کیویٹ لینڈ منصوب کو فعال کردیا,"['پانی', 'سی ڈی اے']",2021-03-09T22:22:13+0500
35,پاکستان کی جمہوری قوتیں نااہل حکومت کیخلاف ایک پیج پر ہیں،بلاول بھٹو زرداری,"['پاکستان', 'یوسف رضا گیلانی', 'آصف علی زرداری', 'عام انتخابات 2018', 'سینیٹ', 'بلاول بھٹو زرداری']",2021-03-09T22:22:13+0500
36,بلوچستان عوامی پارٹی رہنمائوں کا چیئرمین سینیٹ صادق سنجرانی کی کامیابی کے عزم کااظہار,"['اسمبلی', 'پاکستان', 'پاکستان تحریک انصاف', 'بلوچستان', 'سینیٹ', 'قومی اسمبلی']",2021-03-09T22:22:12+0500
37,پاکستان سے اغوا ہونے والی لڑکیوں کی افغانستان میں فروخت کا انکشاف,"['پاکستان', 'افغانستان', 'کراچی', 'پولیس', 'بنوں', 'اغوا', 'تھانہ']",2021-03-09T22:20:59+0500
38,انٹرمیڈیٹ و ثانوی تعلیمی بورڈ راولپنڈی کے چیئر مین نے بورڈ ملازمین کی نمائندہ’’ ایمپلائز ویلفیئر ایسوسی ایشن ‘‘پر مکمل پابندی عائدکر دی,"['کرپشن', 'لاہور', 'پنجاب', 'عام انتخابات 2018', 'ڈاکٹر', 'الیکشن', 'عدالت']",2021-03-09T22:16:44+0500
39,وزیر اعلی بلوچستان کی چوہدری برادران کی رہائش گاہ پر ملاقات،چوہدری شجاعت حسین کی خیریت دریافت کی,"['اسمبلی', 'پاکستان', 'پنجاب', 'گوادر', 'پنجاب اسمبلی', 'چوہدری پرویز الٰہی', 'بلوچستان', 'کبڈی', 'صوبائی اسمبلی', 'جان محمد جمالی']",2021-03-09T22:16:44+0500
40,وزیر داخلہ بلوچستان میر ضیاء اللہ لانگو سے سینیٹر میر کبیر محمد شہی کی ملاقات,"['الیکشن کمیشن', 'عام انتخابات 2018', 'وزیر اعلیٰ', 'بلوچستان', 'سینیٹ', 'الیکشن']",2021-03-09T22:16:44+0500
41,حکومتی اہلکار نظام حکومت میں ریڑھ کی ہڈی کی حیثیت رکھتے ہیں، چیف سیکرٹری بلوچستان,['بلوچستان'],2021-03-09T22:16:44+0500
42,خواتین کا ملکی ترقی اور قومی معیشت کی بہتری میں نمایاں کردار ہے ،ظہوراحمد بلیدی,['تعلیم'],2021-03-09T22:16:44+0500
