,headlines,categories,time
0, محکمہ لائیو اسٹاک کے اہلکار کی نوسربازی پکڑی گئی، ویڈیو وائرل ,"['پولیس', 'وزیر اعلیٰ', 'خیبرپختونخوا']",2021-03-14T23:16:35+0500
1, پی ڈی ایم کا باولر اچھا نہیں تھا، ہم نے چھکا لگایا اور وہ گیند کے پیچھے پھر رہے ہیں،ڈپٹی چیئرمین سینیٹ مرزا آفریدی ,"['الیکشن', 'وزیراعظم', 'فاٹا', 'کرپشن', 'سینیٹ', 'عام انتخابات 2018']",2021-03-14T22:52:10+0500
2,وائرل ویڈیو سے وزیراعلیٰ کے بھائی کا تعلق نہیں، ترجمان وزیر اعلیٰ ہائوس,"['پولیس', 'وزیر اعلیٰ']",2021-03-14T22:30:04+0500
3,گجرات کے ہسپتال میں کورونا مریضوں کیلئے آکسیجن بیڈز کی کمی نہیں، انتظامیہ,"['کرونا وائرس', 'ڈاکٹر', 'شہید']",2021-03-14T22:30:04+0500
4,قبائلی علاقوں پر زبردستی قبضہ کسی صورت قبول نہیں ہے، افراسیاب خٹک,['پشاور'],2021-03-14T22:30:04+0500
5,دبئی ایکسپو کیلئے پاکستان پویلین تعمیر کے بعد پاکستانی حکومت کے حوالے کردیا گیا,"['پاکستان', 'دبئی']",2021-03-14T22:30:04+0500
6,سات ووٹ مسترد ہونے کیخلاف اپوزیشن عدالت نہیں جاسکتی، مرزا آفریدی,"['ووٹ', 'وزیراعظم', 'فاٹا', 'پاکستان', 'عدالت', 'سینیٹ']",2021-03-14T22:30:03+0500
7,غدار کہیں یا پھانسی پر چڑھا دیں، مگر ہم جیتے جی پاکستان کو ڈوبنے نہیں دیں گے، میاں جاوید لطیف,"['مریم نواز شریف', 'لانگ مارچ', 'حادثہ', 'غداری', 'مسلم لیگ (ن)', 'سوشل میڈیا', 'پاکستان']",2021-03-14T22:18:40+0500
8,عام طور پر لائیو اسٹاک کو ایگریکلچر کے ساتھ ملا کر دیکھا جاتا ہے جبکہ اس شعبے میں خود بہت پوٹینشل ہے، یہ زراعت کے مساوی سیکٹر ہے،سید ممتازعلی شاہ,"['سندھ', 'گاڑی', 'پاکستان', 'تعلیم', 'بجٹ']",2021-03-14T22:05:06+0500
9,توانائی بحران پر قابو پانے اور لوڈشیڈنگ ختم کرنے کے بلند و بانگ دعوے کیے تھے مگر حکومت اپنے وعدوں کو پورا نہیں کر سکی، جماعت اسلامی حیدرآباد,"['کرپشن', 'جماعت اسلامی', 'گرمی', 'بجلی', 'لوڈشیڈنگ', 'تعلیم', 'عام انتخابات 2018']",2021-03-14T22:05:06+0500
10,کرمانوالہ،ڈپٹی کمشنر عامر عقیق خان کابنیادی مر کز صحت کو مقررہ اوقات کار سے پہلے بند کرنے کی ویڈیو وائرل ہونے کا نوٹس ,"['ڈاکٹر', 'کار', 'سوشل میڈیا']",2021-03-14T22:05:06+0500
11,جس ادارے کا جو کام ہے وہی کرے تو بہتر ہے، مکمل طور پر آئینی حکمرانی ہونی چاہیے، رضا ربانی,"['الیکشن', 'پاکستان تحریک انصاف', 'مریم نواز شریف', 'ووٹ', 'سپریم کورٹ', 'صوبائی اسمبلی', 'اسمبلی', 'رضا ربانی', 'جمہوریت', 'پاکستان', 'عدالت', 'پیپلز پارٹی', 'سینیٹ', 'عام انتخابات 2018']",2021-03-14T22:05:05+0500
12,اس وقت سندھ میں کرونا کیسز کی شرح تشویشناک نہیں ہے،سعید غنی,"['پنجاب', 'کرونا وائرس', 'سندھ']",2021-03-14T22:05:05+0500
13,ملک میں شعبان المعظم 1442 ہجری کا چاند نظر آگیا,['رویت ہلال کمیٹی'],2021-03-14T22:05:05+0500
14,کوئٹہ ،جمعیت علماء اسلام نظریاتی بلوچستان کے رہنمائوں کا چیئرمین سینٹ محمد صادق سنجرانی کو منتخب ہونے پر مبارکباد,"['پانی', 'جمعیت', 'پاکستان', 'بلوچستان', 'سی پیک', 'سوئی گیس']",2021-03-14T22:05:03+0500
15,گورنر فرمان کا پشاور میں پولیس تھانہ میں دوران حراست طالب علم کی ہلاکت کے واقعہ کا نوٹس، آئی جی پی کو واقعے کی مکمل رپورٹ پیش کرنے کی ہدایت,"['پولیس', 'تھانہ', 'پشاور', 'گورنر']",2021-03-14T22:05:02+0500
16,پشاور میں پولیس حراست میں 7ویں جماعت کے طالب علم کی مبینہ خودکشی,"['پشاور', 'خیبرپختونخوا', 'پولیس', 'جاں بحق', 'جیل']",2021-03-14T21:55:45+0500
17,مرکزی رویت ہلال کمیٹی کا اجلاس، شعبان المعظم کا چاند نظر نہیں آیا,"['رمضان المبارک', 'سعودی عرب', 'وزارت مذہبی امور', 'سعودی']",2021-03-14T21:36:50+0500
18,چیف سیکرٹری بلوچستان کی زیر صدارت مختلف اضلاع میں عوام کو درپیش مختلف النوع مسائل کے پیش نظر ویڈیو کانفرنس کا انعقاد کیا گیا,"['بلوچستان', 'تعلیم', 'بجلی', 'ملازمت']",2021-03-14T21:35:08+0500
19,آٹھویں حب ریلی اختتام پذیر نوابزادہ نادر خان مگسی نے میدان مار لیا صاحبزادہ سلطان دوسرے نمبر خواتین میں ٹشنا پٹیل چمپئن بن گئیں,"['معین خان', 'سندھ', 'ایف سی', 'رینجرز']",2021-03-14T21:35:08+0500
20,ملک شاہد حامد شہید باسکٹ بال ٹورنامنٹ :ممبا کلب اور کراچی باسکٹ بال کلب کی جیت ,"['شہید', 'کراچی', 'کھیل', 'عدالت', 'پاکستان']",2021-03-14T21:35:07+0500
21,بلوچستان میں کورونا وائر س کے 14نئے کیسز رپورٹ ،متاثرہ افراد کی تعداد 19220ہو گئی ,"['بلوچستان', 'کوئٹہ', 'کرونا وائرس']",2021-03-14T21:35:07+0500
22,تعلیم ہر انسان کی بنیادی ضرورت میں سے ایک ،انسان کا حق ہے جو کوئی اسے نہیں چھین سکتا ،بشری' رند ,"['غریب', 'ایٹمی', 'دنیا', 'بلوچستان', 'تعلیم']",2021-03-14T21:35:07+0500
23,بھائیوں پرمقدمہ بنوانے کیلئے لاپتا ہونے کا ڈراما رچانے والا شخص گرفتار,"['سندھ', 'اغوا', 'موبائل', 'پولیس', 'عدالت']",2021-03-14T21:35:06+0500
24,پیٹرولیم مصنوعات کی قیمتوں میں اضافے کی خبریں قیاس آرائیاں ہیں، اوگرا,['سوئی گیس'],2021-03-14T21:35:06+0500
25,مرتضیٰ وہاب نے کورنگی اسپورٹس اکیڈمی میں بیڈمنٹن کورٹ کا افتتاح کردیا ,"['سندھ', 'کھیل', 'پیپلز پارٹی', 'عدالت', 'بلدیاتی انتخابات', 'تعلیم']",2021-03-14T21:35:06+0500
26,ؒٓمہنگائی اور کرپٹ و نا اہل حکومت کیخلاف لانگ مارچ حکومت کے تابوت میں آخری کیل ثابت ہوگا ،پیپلز پارٹی ڈسٹرکٹ کورنگی ,"['لانگ مارچ', 'کرونا وائرس', 'پاکستان', 'مہنگائی', 'پیپلز پارٹی']",2021-03-14T21:35:06+0500
27,پنجاب حکو مت کانہری پانی کے استعمال پر عائد آبیانہ فیس مزید بڑھانے کا فیصلہ ,"['پنجاب', 'عثمان بزدار', 'پانی']",2021-03-14T21:35:05+0500
28,انصاف ویلفیئر ونگ کے زیراہتمام لیگی رہنماجاوید لطیف کے متنازعہ بیان کے خلاف احتجاجی ریلی ,"['پاکستان تحریک انصاف', 'غداری', 'مسلم لیگ (ن)', 'متحدہ قومی موومنٹ', 'پولیس', 'پاکستان', 'پنجاب', 'ایم کے']",2021-03-14T21:35:05+0500
